ກປ.ອອນໄລ - ຫວຽດນາມ ຫາກໍ່ສິ້ນສຸດ 1 ເດືອນໃນຖານະຕໍາແໜ່ງເປັນປະທານສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດ (ສປຊ) ດ້ວຍບັນດາໝາກຜົນທີ່ໄດ້ຮັບການຕີລາຄາຢ່າງຕັ້ງໜ້າຈາກປະເທດຕ່າງໆ.	Việt Nam vừa hoàn thành nhiệm kỳ một tháng làm Chủ tịch Hội đồng Bảo an Liên hợp quốc (HĐBA LHQ).
ທີ່ວາລະປະຊຸມສະຫຼຸບບັນດາກິດຈະກໍາໃນຖານະຕໍາແໜ່ງເປັນປະທານສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດເດືອນມັງກອນ 2020 ຂອງຫວຽດນາມ, ບັນດາປະເທດລ້ວນແຕ່ຮັບຮູ້ວ່າ ເລື່ອງຫວຽດນາມ ດໍາລົງບົດບາດສໍາຄັນນີ້ນັບແຕ່ເມື່ອເລີ່ມຕົ້ນອາຍຸການເປັນກໍາມະການບໍ່ປະຈໍາການສະພາຄວາມໝັ້ນຄົງ ສປຊ ອາຍຸການ 2020-2021 ແມ່ນສິ່ງທ້າທາຍທີ່ຫຍຸ້ງຍາກ.	Tại cuộc họp kết thúc nhiệm kỳ Chủ tịch Hội đồng Bảo an Liên hợp quốc vào tháng 1 năm 2020, các nước đều nhận thấy Việt Nam đã đóng vai trò quan trọng ngay từ đầu nhiệm kỳ Ủy viên không thường trực Hội đồng Bảo an Liên hợp quốc.
ຫວຽດນາມ ໄດ້ຮັບຫຼາຍຄໍາອວຍພອນຈາກ ປະເທດຕ່າງໆ ຍ້ອນໄດ້ສໍາເລັດໜ້າທີ່ເປັນຢ່າງດີ.	Việt Nam đã nhận được nhiều lời chúc mừng từ các quốc gia vì những thành tựu đạt được.
ຮັບດໍາລົງບົດບາດເປັນປະທານໃນສະພາບການໂລກ ແລະພາກພື້ນມີການຜັນແປທີ່ສັບສົນຫຼາຍຢ່າງຍາກທີ່ຈະຄາດຄະເນລ່ວງໜ້າໄດ້, ບັນດາການປະທະກັນແກ່ຍາວຢູ່ອາຟະລິກາ, ຄວາມເຄັ່ງຕຶງປີນຂັ້ນໄດຢູ່ຕາເວັນອອກກາງ ແລະບັນດາຈຸດຮ້ອນຢູ່ບາງພາກພື້ນ...	Nhậm chức Tổng thống trong bối cảnh toàn cầu và khu vực có nhiều biến động phức tạp khó lường, xung đột kéo dài ở châu Phi, căng thẳng leo thang ở Trung Đông và điểm nóng ở một số khu vực ...
ໃນສະພາບການນັ້ນ, ຫວຽດນາມ ໄດ້ຜ່ານ 1 ເດືອນແຫ່ງການດຳເນີນ ຖານະຕໍາແໜ່ງໃໝ່, ພາລະໜ້າທີ່ໃໝ່ທີ່ເຕັມໄປດ້ວຍຄວາມຫຍຸ້ງຍາກ.	Trong bối cảnh đó, Việt Nam đã trải qua một tháng đầy hoài bão, một nhiệm vụ khó khăn.
ດ້ວຍບັນດາບັນຫາສັບສົນທີ່ເກີດຂຶ້ນ, ນາບຂູ່ເຖິງສັນຕິພາບ ແລະຄວາມໝັ້ນຄົງສາກົນ.	Với những phức tạp nảy sinh, nó đe dọa hòa bình và an ninh quốc tế.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ດ້ວຍການໜູນຊ່ວຍຂອງບັນດາປະເທດສະມາຊິກ, ຫວຽດນາມ ໄດ້ຮັບການຕີລາຄາວ່າໄດ້ມີການກະທຳຢ່າງທັນການ, ແກ້ໄຂບັນດາບັນຫາສັບສົນທີ່ເກີດຂຶ້ນຢ່າງມີໄຫວພິບ, ໝູນໃຊ້ບັນດາລະບຽບກົດໝາຍ, ທຳນຽມ ຂອງສະພາຢ່າງມີຫົວຄິດປະດິດສ້າງ, ຊຸກຍູ້ຄວາມເຫັນດີເຫັນພ້ອມເພື່ອໃຫ້ສະພາວາງອອກບັນດາຂໍ້ຕົກລົງທີ່ເໝາະສົມ.	Tuy nhiên, với sự giúp đỡ của các quốc gia thành viên, Việt Nam đã được đánh giá cao về hành động nhanh chóng, giải quyết các vấn đề phức tạp, áp dụng các quy tắc và quy chế nghị viện sáng tạo, đồng thời khuyến khích đạt được các thỏa thuận nghị viện.
ຫວນຄືນ 1 ເດືອນທີ່ຄັບຄາກັບວຽກງານນັ້ນ, ຫວຽດນາມ ໄດ້ບໍລິຫານ ແລະເປັນປະທານວຽກງານຫຼາຍຢ່າງ, ດ້ວຍ 30 ກິດຈະກໍາທາງການ.	Nhìn lại một tháng bận rộn, Việt Nam đã điều hành và chủ trì nhiều nhiệm vụ, với 30 sự kiện chính thức.
ຈໍານວນຂໍ້ຕົກລົງ (13 ສະບັບ) ກ່ຽວກັບບັນດາບັນຫາທີ່ໄດ້ຍົກອອກກໍ່ຫຼາຍທີ່ສຸດໃນ 1 ເດືອນແຫ່ງການເຮັດວຽກຂອງສະພາຄວາມໝັ້ນຄົງໃນຫຼາຍປີມານີ້.	Số lượng thỏa thuận (13) về các vấn đề được đưa ra là lớn nhất trong một tháng làm việc của Hội đồng Bảo an trong những năm gần đây.
ໝາກຜົນດັ່ງກ່າວສະແດງໃຫ້ເຫັນວ່າ ຫວຽດນາມ ປະກອບສ່ວນນັບມື້ນັບມີເນື້ອແທ້, ມີປະສິດທິຜົນ ແລະມີຄວາມຮັບຜິດຊອບເຂົ້າໃນບັນດາວຽກງານລວມຂອງປະຊາຄົມສາກົນ.	Kết quả cho thấy Việt Nam đang ngày càng đóng góp cho cộng đồng quốc tế một cách có ý nghĩa, hiệu quả và có trách nhiệm.
ໃນຖານະຕໍາແໜ່ງໃໝ່, ຫວຽດນາມ ໄດ້ເປັນເຈົ້າການ ແລະຕັ້ງໜ້າ ປະກອບບັນດາຂໍ້ລິເລີ່ມ ແລະຊຸກຍູ້ບັນດາເປົ້າໝາຍລວມ.	Với tư cách là nước đi đầu, Việt Nam đã đi đầu và cam kết khởi xướng và thúc đẩy các mục tiêu chung.
