ຄວາມຮັບຜິດຊອບຕໍ່ສັງຄົມໃນສັກກະລາດດີຈີຕອນ	Trách nhiệm xã hội trong kỷ nguyên kỹ thuật số
ໂດຍແມ່ນບັນດານັກທຸລະກິດນັກຮົບ, ຄົນ Viettel ມີຮັບຜິດຊອບຕໍ່ສັງຄົມຂອງຕົນກັບ “ກົກເຄົ້າ ບ່ອນກຳເນີດຂອງຕົນ, ນັ້ນແມ່ນຊີວິດການເປັນຢູ່ຂອງປະຊາຊົນ.	Là doanh nhân, chiến binh, người Viettel có trách nhiệm với xã hội với “cội nguồn, nghĩa là vì dân”.
ສິ່ງດັ່ງກ່າວໄດ້ສະແດງອອກຜ່ານຫຼາຍໂຄງການທີ່ Viettel ປະຕິບັດມຸ່ງເຖິງວົງຄະນະຍາດທີ່ມີຄວາມໝາຍເລິກເຊິ່ງ, ຄື: ໝາກຫົວໃຈໃຫ້ນ້ອງ;	Điều này đã được thể hiện qua một số dự án mà Viettel triển khai hướng đến những người có thâm niên như: Trao trái tim cho chị em;
ອິນເຕີແນັດໂຮງຮຽນ;	Internet trường học;
ໂຄງການໜູນຊ່ວຍເມືອງທຸກຍາກຕາມມະຕິ 30a ຂອງລັດຖະບານ;	Chương trình Xoá đói giảm nghèo theo Nghị quyết 30a của Chính phủ;
...	...
ຕິດຕັ້ງໂຄງລ່າງ 5ຈີ ຂອງ Viettel.	Lắp đặt hạ tầng 5G Viettel.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ໃນສັກກະລາດ 4.0, ຄວາມຮັບຜິດຊອບຕໍ່ສັງຄົມຂອງ Viettel ໄດ້ຍົກສູງຂຶ້ນດ້ວຍການຮຽກຮ້ອງ, ຄຽງບ່າຄຽງໄຫຼ່ພ້ອມກັບຫຼາຍຄົນ, ຫຼາຍອົງການອື່ນສ້າງກາລະໂອກາດພັດທະນາເຕັກໂນໂລຢີບຸກທະລຸ, ຮ່ວມແຮງຮ່ວມໃຈເພື່ອປະເທດຫວຽດນາມ ໝັ້ນຄົງເຂັ້ມແຂງ.	Trong thời đại 4.0, trách nhiệm xã hội của Viettel được nâng lên cùng với lời kêu gọi, cùng với nhiều tổ chức khác tạo cơ hội phát triển công nghệ đột phá, chung sức vì một Việt Nam giàu mạnh hơn.
Viettel Advanced Solution Track 2019 ແມ່ນການແຂ່ງຂັນຊອກຫາມາດຕະການເຕັກໂນໂລຢີໃນຂົງເຂດໂທລະຄົມມະນາຄົມໂດຍ Viettel ຈັດຕັ້ງ.	Viettel Advanced Solution Track 2019 là cuộc thi tìm kiếm các biện pháp công nghệ trong lĩnh vực viễn thông do Viettel tổ chức.
ປີ 2020, ການແຂ່ງຂັນໄດ້ຍົກລະດັບເມື່ອສົມທົບກັບກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານ ຈັດຕັ້ງ, ເປີດກວ້າງການຊອກຫາມາດຕະການເຕັກໂນໂລຢີໃນຂົງເຂດຫັນປ່ຽນດີຈີຕອນ.	Năm 2020, cuộc thi sẽ được nâng cấp với sự phối hợp của Bộ Thông tin và Truyền thông, mở ra cuộc tìm kiếm các biện pháp công nghệ trong lĩnh vực chuyển đổi số.
