ກປ.ອອນໄລ - ທ່ານ ເຈືອງມີງຕ໋ວນ ລັດຖະມົນຕີກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານ ໄດ້ຊີ້ນໍາກົມໂທລະຄົມມະນາຄົມສົມທົບກັບບັນດາກົມກອງທີ່ກ່ຽວຂ້ອງຄົ້ນຄວ້າແຜນການເສດຖະກິດ, ເຕັກນິກທີ່ອາດຈະເປັນໄປໄດ້ເພື່ອຈໍາກັດຢ່າງສຸດຂີດສະພາບຂໍ້ຄວາມສະແປມ, ການໂທສະແປມໃນໄລຍະຈະມາເຖິງ...	Bộ trưởng Bộ Thông tin và Truyền thông, Cục Lập kế hoạch, Thạch vi nhanh của Sở Spam
ທີ່ກອງປະຊຸມແລກປ່ຽນວຽກງານຄຸ້ມຄອງລັດໄຕມາດ III ປີ 2017 ຂອງກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານ, ບັນດາວິສາຫະກິດໄດ້ແບ່ງປັນຫຼາຍຂໍ້ມູນຢ່າງຕັ້ງໜ້າກ່ຽວກັບສະພາບການໂທລະຄົມມະນາຄົມພາຍໃນປະເທດ.	Tại Đại hội Exchange của Bộ Thông tin III 2017 của Bộ Thông tin và Truyền thông, các doanh nghiệp đã chia sẻ nhiều thông tin về các Viễn thông cả nước.
ໂດຍລະອຽດ, ສໍາລັບກຸ່ມບໍລິສັດໄປສະນີໂທລະຄົມມະນາຄົມຫວຽດນາມ (VNPT), ທ່ານ ເຈີ່ນແມ້ງຮຸ່ງ, ປະທານສະພາສະມາຊິກກຸ່ມບໍລິສັດ VNPT ໃຫ້ຮູ້ວ່າ, ໃນເດືອນກັນຍາ, VNPT ໄດ້ block 56.000 ຂໍ້ຄວາມສະແປມ, ດ້ວຍເບີໂທລະສັບຖືກ block ແມ່ນ 713 ເບີ, ທຽບເທົ່າປະມານ 25 ເບີໂທລະສັບ/ວັນ.	Chi tiết, đối với cộng đồng người Việt, Tổng thống VNPT 56.000 văn phòng định vị tinh thần, với khoảng 25 điện thoại và ngày.
ລູກຄ້າລົງທະບຽນນໍາໃຊ້ບໍລິການໂທລະຄົມມະນາຄົມຂອງ VNPT.	Khách hàng đã đăng ký sử dụng dịch vụ VNCH Viễn thông.
ພາບປະກອບ	Bức ảnh
ຜູ້ຕາງໜ້າກຸ່ມບໍລິສັດໂທລະຄົມມະນາຄົມກອງທັບ (Viettel) ກໍ່ໃຫ້ຮູ້ວ່າ, ໃນເດືອນກັນຍາ ປີ 2017, ບໍລິສັດໂທລະຄົມມະນາຄົມນີ້ໄດ້ block 5.000 ເບີໂທລະສັບ, ດ້ວຍປະມານ 5 ລ້ານຂໍ້ຄວາມສະແປມຖືກ block.	Đại diện của Quân đội Viễn thông Viễn thông (Viettl), vào tháng 9 năm 2017, công ty điện thoại, với khoảng 5 triệu công ty Spambock là khối.
ໃນຂະນະນັ້ນ, ດ້ວຍ MobiFone, ໄລ່ມາຮອດວັນທີ 15 ກັນຍາ 2017, MobiFone ກໍ່ໄດ້ລອັກ 950.000 ເບີໂທລະສັບ, ໃນນັ້ນໄຕມາດ III ໄດ້ລອັກ 47.850 ເບີໂທລະສັບ, ປະລິມານຂໍ້ຄວາມສະແປມ block ໃນໄຕມາດ III ກໍ່ຫຼຸດລົງ 88% ທຽບໃສ່ໄລຍະດຽວກັນຂອງປີ 2016.	Vào thời điểm đó, với Mobifone, đuổi theo ngày 8 tháng 9, 950.000 số điện thoại, trong quý III đã giảm 88%.
ມາຮອດປະຈຸບັນ, ທັງສາມບໍລິສັດໂທລະຄົມມະນາຄົມໃຫຍ່ແມ່ນ VinaPhone, Viettel ແລະ MobiFone ລ້ວນແຕ່ລົງທຶນບັນດາລະບົບ block ຂໍ້ຄວາມສະແປມທີ່ພໍສົມຄວນແລ້ວ.	Cho đến nay, cả ba công ty viễn thông lớn đều là Viettel và MobiFone và MobiFone, họ đầu tư vào nhiều khối spaming.
ທີ່ກອງປະຊຸມແລກປ່ຽນວຽກງານຄຸ້ມຄອງລັດໄຕມາດ III ດັ່ງກ່າວ, ທ່ານ ເຈືອງມີງຕ໋ວນ ລັດຖະມົນຕີກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານໄດ້ຊີ້ນໍາກົມໂທລະຄົມມະນາຄົມສົມທົບກັບບັນດາກົມກອງທີ່ກ່ຽວຂ້ອງຄົ້ນຄວ້າແຜນການເສດຖະກິດ, ເຕັກນິກທີ່ອາດຈະເປັນໄປໄດ້ເພື່ອຈໍາກັດຢ່າງສຸດຂີດສະພາບຂໍ້ຄວາມສະແປມ, ການໂທສະແປມໃນໄລຍະຈະມາເຖິງ.	Tại Đại hội Exchange của quản lý khu phố III, Bộ trưởng Bộ Thông tin và Truyền thông Vùng Kế hoạch và Truyền thông.
ທ່ານ ເຈືອງມີງຕ໋ວນ ລັດຖະມົນຕີກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານ ກໍ່ຊີ້ນໍາກົມໂທລະຄົມມະນາຄົມສືບຕໍ່ເພີ່ມທະວີການກວດກາ, ກະຕຸກຊຸກຍູ້ບັນດາວິສາຫະກິດປະຕິບັດຄໍາໝັ້ນສັນຍາ block ຂໍ້ຄວາມສະແປມຢ່າງເຂັ້ມງວດ;	Bộ trưởng Bộ Thông tin, Bộ trưởng Bộ Thông tin và Truyền thông tiếp tục tăng kiểm tra, thúc đẩy một chính sách;
ພ້ອມທັງສົມທົບກັບບັນດາກົມກອງທີ່ກ່ຽວຂ້ອງຜັນຂະຫຍາຍແຜນງານສະກັດກັ້ນຊິມສະແປມ ແລະການໂທສະແປມ...	Cũng kết hợp với Cục Sở Sở Sim Sim Chặn và Thư rác Cuộc gọi ...
ຄົ້ນຄວ້າ, ລາຍງານຕໍ່ການນໍາກະຊວງແຜນງານເສດຖະກິດ, ເຕັກນິກອາດຈະເປັນໄປໄດ້ເພື່ອຈໍາກັດຢ່າງສຸດຂີດສະພາບຂໍ້ຄວາມສະແປມ, ການໂທສະແປມ.	Nghiên cứu, báo cáo cho Bộ Kinh tế, Kế hoạch kỹ thuật có thể giới hạn thông qua văn bản spam, cuộc gọi thư rác.
ແປໂດຍ: ເຈິ່ນຮວ່ຽນ.	Dịch bởi: Trần mùa hè.
