ກປ.ອອນໄລ - ທີ່ນະຄອນ ຫວູງເຕົາ, ຄະນະປະຕິບັດງານກອງບັນຊາການທະຫານເຮືອເຂດ 2 ສອງຄະນະ;	KR Online - Tại TP.Vũng Tàu, Bộ Tư lệnh Vùng 2 Hải quân;
ສູນສຶກສາການປ້ອງກັນຊາດ ແລະປ້ອງກັນຄວາມສະຫງົບສັງກັດມະຫາວິທະຍາໄລແຫ່ງຊາດນະຄອນ ໂຮ່ຈິມິນ;	Trung tâm Giáo dục Quốc phòng và An ninh, Đại học Quốc gia Thành phố Hồ Chí Minh;
ນັກຂ່າວບັນດາອົງການສື່ມວນຊົນໄດ້ຂຶ້ນກໍາປັ່ນສອງລໍາໄປຢ້ຽມຢາມ, ອວຍພອນປີໃໝ່ພະນັກງານ, ນັກຮົບຮ້ານເວນຍາມ DK1 ແລະປ້ອມຣາດາ 590 (ສັງກັດກອງພັນໃຫຍ່ 251, ກອງບັນຊາການທະຫານເຮືອເຂດ 2, ກອງທັບປະຊາຊົນຫວຽດນາມ) ເນື່ອງໃນໂອກາດບຸນປີໃໝ່ປະຈຳຊາດ ປີຈໍ 2018.	Các nhà báo, cơ quan truyền thông đã lên hai tàu thăm, chúc Tết cán bộ, chiến sĩ Trạm tuần tra DK1 và Đồn ra đa 590 (thuộc Tiểu đoàn 251, Bộ Tư lệnh Hải quân 2, Quân đội nhân dân Việt Nam) nhân dịp Tết Nguyên đán 2018.
ໃນການໄປຄັ້ງນີ້, ຄະນະປະຕິບັດງານຈະເອົາບັນດາຂອງຂວັນຂອງທ່ານປະທານປະເທດ, ກະຊວງປ້ອງກັນປະເທດ, ກອງບັນຊາການເຫຼົ່າທັບເຮືອ, ກອງບັນຊາການທະຫານເຮືອເຂດ 2 ແລະຂອງບັນດາທ້ອງຖິ່ນ, ອົງການມອບໃຫ້ພະນັກງານ, ນັກຮົບທີ່ປະຕິບັດງານຢູ່ໄຫຼ່ທະວີບທາງທິດໃຕ້ເນື່ອງໃນໂອກາດບຸນປີໃໝ່ປະຈຳຊາດປີຈໍ.	Trong khuôn khổ chuyến thăm, đoàn sẽ tặng quà của Chủ tịch nước, Bộ Quốc phòng, Bộ Tư lệnh Hải quân, Bộ Tư lệnh Vùng 2 Hải quân và các địa phương cho cán bộ, chiến sĩ đang phục vụ tại lục quân phía Nam nhân dịp năm mới.
ບັນດາງ່າດອກເໝີຍແມ່ນຂອງຂວັນທີ່ບໍ່ສາມາດຂາດໄດ້ໃຫ້ຊຸມວັນປີໃໝ່ຢູ່ທະເລ.	Những cành hoa ly là món quà không thể thiếu trong ngày Tết ở biển.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ທ່ານພັນເອກພິເສດ ຫງວຽນກ໋ວກວັນ, ຮອງຫົວໜ້າການເມືອງກອງບັນຊາການທະຫານເຮືອເຂດ 2 ໃຫ້ຮູ້ວ່າ: ເມື່ອປີໃໝ່ວຽນມາກອງບັນຊາການທະຫານເຂດ 2 ໄດ້ຮັບການມອບໝາຍໜ້າທີ່ຈາກເຫຼົ່າທັບເຮືອຈັດຕັ້ງບັນດາຄະນະປະຕິບັດງານເຮັດໜ້າທີ່ໄປຢ້ຽມຢາມ ແລະອວຍພອນປີໃໝ່ໃຫ້ພະນັກງານ, ນັກຮົບຢູ່ບັນດາຮ້ານເວນຍາມ ແລະພະນັກງານ, ນັກຮົບພວມປະຕິບັດງານຢູ່ເມືອງ ໂກນດາວ.	Đại tá đặc công Nguyễn Quốc Văn, Phó Chủ nhiệm Chính trị Bộ Tư lệnh Vùng 2 Hải quân, cho biết: “Năm ngoái, Bộ Tư lệnh Vùng 2 Hải quân được Quân chủng Hải quân giao nhiệm vụ tổ chức tuần tra, thăm hỏi, chúc thọ các cựu chiến binh.
ໃບຕອງຫໍ່ເຂົ້າຕົ້ມກໍ່ໄດ້ສົ່ງມາໃຫ້ຮ້ານເວນຍາມ.	Cơm lá đã được gửi đến quán tuần tra.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ	Ảnh: Thông tấn xã Việt Nam
ເມື່ອທຽບໃສ່ກັບຊຸມປີກ່ອນນີ້, ຄຸນນະພາບສິ່ງຂອງທີ່ຈໍາເປັນໃຫ້ແກ່ການດຳລົງຊີວິດທີ່ສະໜອງໃຫ້ບັນດານັກຮົບຢູ່ຮ້ານເວນຍາມໄດ້ປັບປຸງກວ່າ, ມີດອກໄມ້ສົດຫຼາຍປະເພດ, ພິເສດແມ່ນດອກເໝີຍກໍ່ໄດ້ສົ່ງມາມອບໃຫ້ພະນັກງານ, ນັກຮົບບັນດາຮ້ານເວນຍາມ.	So với những năm trước, chất lượng cuộc sống cần thiết cho binh lính tại Wen Yam đã được cải thiện.
ການປະຕິບັດງານນີ້ມີຄວາມໝາຍຫຼາຍຢ່າງ;	Hoạt động này có nhiều weirs;
ການມີໜ້າຂອງບັນດາສະມາຊິກໃນຄະນະປະຕິບັດງານພ້ອມກັບບັນດາຂອງຂວັນຈະແມ່ນແຫຼ່ງລະດົມກໍາລັງໃຈ, ປຸກລະດົມບັນດາພະນັກງານ, ນັກຮົບທີ່ພວມປະຕິບັດງານຢູ່ຮ້ານເວນຍາມ, ພ້ອມທັງສະແດງໃຫ້ເຫັນອາລົມຈິດຂອງປະຊາຊົນທົ່ວປະເທດປຸກລະດົມຈິດໃຈບັນດາພະນັກງານ, ນັກຮົບທີ່ພວມປະຕິບັດໜ້າທີ່ຢູ່ໄຫຼ່ທະວີບທາງທິດໃຕ້ປະເທດຊາດ.	Sự có mặt của các thành viên trong đội đặc nhiệm cùng với những phần quà sẽ là nguồn động lực, tiếp thêm động lực cho các cán bộ, chiến sĩ đang làm việc tại cửa hàng tuần tra, cũng như thể hiện tình cảm của người dân cả nước, tạo động lực cho nhân viên, những người lính đang làm việc ở ngoại thành.
ແປໂດຍ: ເກື່ອງດັ້ງ.	Dịch bởi: Cuong Dang.
