ບັນຍາກາດທີ່ກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XI ພັກປະຊາຊົນ ປະຕິວັດລາວ.	Khí thế tại Đại hội XI của Đảng Nhân dân Cách mạng Lào.
ພາບ: lnr.org.la.	Ảnh: lnr.org.la.
ພ້ອມກັນນັ້ນ, ດ້ວຍຈຸດປະສົງຍົກສູງຊີວິດທາງດ້ານຈິດໃຈ ແລະວັດຖຸໃຫ້ປະຊາຊົນກວ່າອີກ, ຍາມໃດພັກ, ລັດລາວ ກໍ່ເອົາໃຈໃສ່ເຖິງການສົ່ງເສີມສຸຂະພາບ, ກໍ່ສ້າງບັນດາກິດຈະກຳວັດທະນະທຳທີ່ມີສີສັນຊາດ...	Đồng thời, với mục tiêu nâng cao đời sống tinh thần và vật chất của nhân dân, nước CHDCND Lào luôn quan tâm đến công tác nâng cao sức khỏe, xây dựng các hoạt động văn hóa đa sắc màu ...
ປະຕິບັດບັນດາແຜນການພັດທະນາດ້ານເສດຖະກິດ-ສັງຄົມ ໄລຍະ 5 ປີຢ່າງມີໄຊ, ໃນນັ້ນຫວ່າງມໍໆນີ້ແມ່ນປະຕິບັດແຜນການພັດທະນາດ້ານເສດຖະກິດ-ສັງຄົມ ໄລຍະ 5 ປີ ຄັ້ງທີ VIII, ໄລຍະ 2016- 2020 ຢ່າງມີໄຊ.	Thực hiện thắng lợi Kế hoạch phát triển kinh tế - xã hội 5 năm, trong đó có việc thực hiện thắng lợi Kế hoạch phát triển kinh tế - xã hội 5 năm lần thứ VIII, giai đoạn 2016-2020.
ຊີວິດການເປັນຢູ່ຂອງປະຊາຊົນລາວໄດ້ຮັບການປັບປຸງຢ່າງບໍ່ຢຸດຢັ້ງ;	Mức sống của nhân dân Lào không ngừng được cải thiện;
ຈຳນວນເງິນລົງທຶນພາຍໃນ ແລະຕ່າງປະເທດເພີ່ມຂຶ້ນສູງຢ່າງຕໍ່ເນື່ອງ;	Lượng vốn đầu tư trong và ngoài nước không ngừng tăng lên;
ຍອດຜະລິດຕະພັນພາຍໃນປະເທດ (GDP) ມີລະດັບເຕີບໂຕສູງ.	Tổng sản phẩm trong nước (GDP) có tốc độ tăng trưởng cao.
ການພົວພັນຕ່າງປະເທດໄດ້ຮັບການເປີດກວ້າງ ແລະນັບມື້ນັບເຂົ້າສູ່ລວງເລິກ, ຮອດປີ 2020, ລາວໄດ້ສ້າງຕັ້ງການພົວພັນທາງການທູດກັບ 143 ປະເທດໃນໂລກ ແລະການຈັດຕັ້ງກອງປະຊຸມສຳຄັນລະດັບສາກົນຫຼາຍຄັ້ງສຳເລັດຜົນ, ສະແດງໃຫ້ເຫັນການປ່ຽນແປງອັນໃຫຍ່ຫຼວງ, ໜ້າເອກອ້າງທະນົງໃຈຂອງປະເທດ “ດອກຈຳປາ ທີ່ສວຍງາມ.	Quan hệ đối ngoại ngày càng mở rộng và đi vào chiều sâu, đến năm 2020, Lào đã thiết lập quan hệ ngoại giao với 143 nước và triệu tập thành công một số hội nghị quốc tế lớn, đánh dấu bước ngoặt vĩ đại của đất nước “con cá xinh đẹp”.
ໂດຍແມ່ນສະຫາຍ, ອ້າຍນ້ອງທີ່ສະໜິດສະໜົມຂອງພັກປະຊາຊົນ ປະຕິວັດລາວ, ຂອງປະຊາຊົນລາວບັນດາເຜົ່າ, ພັກກອມມູນິດຫວຽດນາມ ແລະປະຊາຊົນຫວຽດນາມ ປິຕິຊົມຊື່ນ ແລະນິຍົມນັບຖືທີ່ສຸດຕໍ່ບັນດາການປ່ຽນແປງໃຫຍ່ໃນທຸກດ້ານຂອງປະເທດລາວທີ່ສວຍງາມ ແລະວິລະຊົນ.	Các đồng chí, những người anh em thân thiết của Đảng Nhân dân Cách mạng Lào, nhân dân các dân tộc Lào, Đảng Cộng sản Việt Nam và nhân dân Việt Nam vui mừng, trân trọng trước những đổi thay to lớn về mọi mặt của đất nước Lào anh hùng, tươi đẹp.
ບັນດາຜົນງານອັນໃຫຍ່ຫຼວງນັ້ນແມ່ນແຫຼ່ງລະດົມກຳລັງໃຈໃຫ້ແກ່ປະຊາຊົນຫວຽດນາມ ໃນພາລະກິດສ້າງສາ ແລະປົກປັກຮັກສາປະເທດຊາດ.	Những thành tựu to lớn đó là nguồn động lực cho nhân dân Việt Nam trong sứ mệnh xây dựng và bảo vệ Tổ quốc.
ພັກກອມມູນິດຫວຽດນາມ ແລະປະຊາຊົນຫວຽດນາມ ຊົມເຊີຍ ແລະເຊື່ອໝັ້ນວ່າກອງປະຊຸມໃຫຍ່ ຄັ້ງ XI ພັກປະຊາຊົນ ປະຕິວັດລາວ ຈະປະສົມຜົນສໍາເລັດຢ່າງຈົບງາມ.	Đảng Cộng sản Việt Nam và nhân dân Việt Nam chúc mừng và tin tưởng Đại hội XI của Đảng Nhân dân Cách mạng Lào sẽ thành công tốt đẹp.
ປະຊາຊົນລາວ ບັນດາເຜົ່າອ້າຍນ້ອງສືບຕໍ່ຍາດໄດ້ບັນດາຜົນງານອັນໃຫຍ່ຫຼວງກວ່າອີກ, ປະຕິບັດບັນດາມະຕິກອງປະຊຸມໃຫຍ່ຂອງພັກປະຊາຊົນ ປະຕິວັດລາວ ຢ່າງມີໄຊ, ສ້າງສາປະເທດລາວໃຫ້ພັດທະນາຈະເລີນຮຸ່ງເຮືອງ ແລະມີຄວາມຜາສຸກ.	Nhân dân các dân tộc Lào tiếp tục đạt được những thành tựu to lớn hơn nữa, thực hiện thắng lợi các nghị quyết của Đại hội đồng Đảng Nhân dân Cách mạng Lào, xây dựng đất nước Lào giàu mạnh.
ກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XI ພັກປະຊາຊົນ ປະຕິວັດລາວ ຈະວາງອອກແນວທາງໃໝ່, ຍົກສູງຄວາມສາມາດໃນການຊີ້ນໍາ, ນຳພາ ແລະລັກສະນະນຳໜ້າຂອງພັກ, ເພີ່ມທະວີກຳລັງແຮງຂອງກຸ່ມກ້ອນມະຫາສາມັກຄີທົ່ວປວງຊົນທັງຊາດ, ຢືດໝັ້ນແນວທາງປ່ຽນແປງໃໝ່ຮອບດ້ານທີ່ມີຫຼັກການ, ປົກປັກຮັກສາ ແລະພັດທະນາປະເທດໃຫ້ຍືນຍົງຕາມເປົ້າໝາຍສັງຄົມນິຍົມ.	Đại hội đại biểu toàn quốc lần thứ XI của Đảng Nhân dân Cách mạng Lào sẽ đề ra phương hướng mới, nâng cao vai trò lãnh đạo, chỉ đạo của Đảng, củng cố khối đại đoàn kết toàn dân tộc, đẩy mạnh đường lối toàn diện, nguyên tắc, xã hội chủ nghĩa và thực dụng.
ໂດຍ: ແສງເພັດ.	Bởi: Diamond Light.
