ຢູ່ບັນດາສະຖານທີ່ແຍກຕົວລວມໝູ່, ວຽກງານການເລືອກຕັ້ງກໍໄດ້ປະຕິບັດຢ່າງເຂັ້ມງວດ, ຮັບປະກັນຄວາມປອດໄພ.	Tại các khu vực bầu cử biệt lập, các cuộc bầu cử diễn ra nghiêm ngặt và an toàn.
ຢູ່ເຂດແຍກຕົວວິທະຍາຄານການທະຫານ ກອງບັນຊາການກຳລັງນະຄອນຫຼວງ ຮ່າໂນ້ຍ, ນັບແຕ່ເຊົ້າ, ຢູ່ສະຖານທີ່ປ່ອນບັດເລືອກຕັ້ງກໍໄດ້ສີດຢາຂ້າເຊື້ອ.	Tại ngã tư Học viện Quân sự Bộ Chỉ huy Quân sự Hà Nội, thuốc bảo vệ thực vật được phun tại các điểm bỏ phiếu vào buổi sáng.
ຜູ້ມີສິດເລືອກຕັ້ງກໍຕ້ອງລ້າງມືຂ້າເຊື້ອ, ວັດແທກອຸນຫະພູມ, ໃສ່ຖົງມື ແລະ ຮັກສາໄລຍະຫ່າງໃນຕະຫຼອດໄລຍະປະຕິບັດການປ່ອນບັດ.	Người bỏ phiếu được yêu cầu rửa tay, khử trùng nhiệt độ, đeo găng tay và giữ khoảng cách trong suốt quá trình bỏ phiếu.
ໄປຄຽງຄູ່ກັນນັ້ນ, ບັນດາຜູ້ມີສິດເລືອກຕັ້ງກໍຖືກຮຽກຮ້ອງໃຫ້ປະຕິບັດການປ່ອນບັດຕາມແຕ່ລະຫ້ອງ, ໃນເວລາທີ່ແຕກຕ່າງກັນ ເພື່ອຮັບປະກັນແກ່ການຮັກສາໄລຍະຫ່າງ, ຫຼີກລ້ຽງການເຕົ້າໂຮມກັນຫຼາຍຄົນ.	Đồng thời, yêu cầu cử tri bỏ phiếu ở từng khu vực bầu cử, vào các thời điểm khác nhau, đảm bảo duy trì khoảng cách, tránh tình trạng tập trung đông người.
ສຳລັບຜູ້ມີສິດເລືອກຕັ້ງທີ່ພວມປະຕິບັດການແຍກຕົວຢູ່ກັບເຮືອນ, ແຕ່ລະໜ່ວຍເລືອກຕັ້ງຖືຫີບບັດສຳຮອງລົງໄປເຮືອນປະຊາຊົນແຕ່ລະຫຼັງ ເພື່ອໃຫ້ຜູ້ມີສິດເລືອກຕັ້ງສາມາດບ່ອນປັດ.	Đối với những cử tri đang tiến hành ly khai tại gia đình, mỗi khu vực bầu cử mang một thùng phiếu đến từng nhà để cử tri đặt lá phiếu của mình.
ຫີບບັດເລືອກຕັ້ງສຳຮອງນັ້ນກໍໄດ້ຮັບການສີດຢາຂ້າເຊື້ອເຊັ່ນດຽວກັນ.	Hòm phiếu cũng được xịt thuốc khử trùng.
ເວລາປ່ອນບັດເລືອກຕັ້ງກໍຮັບປະກັນປະຕິບັດຕາມມາດຕະການປ້ອງກັນ, ສະກັດກັ້ນໂລກລະບາດຂອງກະຊວງສາທາລະນະສຸກ.	Khi bỏ phiếu, Bộ Y tế được đảm bảo thực hiện theo các biện pháp phòng, chống của Bộ Y tế.
ຕີລາຄາໂດຍສັງເຂບກ່ຽວກັບຄວາມຄືບໜ້າຂອງການເລືອກຕັ້ງ, ທ່ານ ບຸ່ຍວັນເກື່ອງ ເລຂາທິການໃຫຍ່ສະພາແຫ່ງຊາດ, ຫົວໜ້າຫ້ອງການສະພາເລືອກຕັ້ງແຫ່ງຊາດ ໃຫ້ຮູ້ວ່າ, ໄລ່ຮອດເວລາ 11 ໂມງຂອງວັນທີ 23 ພຶດສະພາ, ອັດຕາຜູ້ມີສິດເລືອກຕັ້ງໄປປ່ອນບັດຢູ່ຫຼາຍທ້ອງຖິ່ນໃນທົ່ວປະເທດ ແມ່ນຫຼາຍທີ່ສຸດ ເປັນຕົ້ນແມ່ນ ແຂວງ ດ້ຽນບຽນ ບັນລຸ 85%, ກວາງນິງ 84,53%, ກວ໋າງງ໋າຍ 81,76%, ກາວບັ່ງ 80,3%, ຮ່າຢາງ 77,65%, ຫວິງຟຸກ 71,89%...	Theo ông Bùi Văn Cường, Tổng Thư ký Đại hội Đại biểu Nhân dân Toàn quốc (NPC), tính đến 11 giờ ngày 23/5, số cử tri đủ điều kiện ở nhiều nơi trên cả nước như tỉnh Điện Biên là 84%, 84%, 58%., 89% ...
ສະຖານທີ່ປ່ອນບັດເລືອກຕັ້ງເລກທີຫຼາຍແຫ່ງມີຜູ້ມີສິດເລືອກຕັ້ງເຂົ້າຮ່ວມການປ່ອນບັດ 100%, ເປັນເຕົ້ນແມ່ນ ແຂວງ ກວ໋າງນິງ, ກາວບັ່ງ, ດ້ຽນບຽນ, ບິ່ງເຟືອກ, ຈ່າວິງ...	Nhiều điểm bỏ phiếu có 100% cử tri đủ điều kiện đi bầu, gồm Quảng Ninh, Cao Bằng, Điện Biên, Bình Phước, Chà Vinh ...
ບັນດາທ້ອງຖິ່ນອື່ນທັງໝົດກໍປະຕິບັດວຽກງານຈັດແບ່ງເຂດ, ຈັດແບ່ງຜູ້ມີສິດເລືອກຕັ້ງໄດ້ເປັນຢ່າງດີ, ຮັບປະກັນມາດຕະການ, ຂໍ້ກຳນົດກ່ຽວກັບການປ້ອງກັນ, ສະກັດໂລກລະບາດ.	Các địa phương khác đều thực hiện tốt công tác khoanh vùng, tổ chức cử tri, đảm bảo các biện pháp, quy định về phòng, chống dịch bệnh.
ແຫຼ່ງຄັດຈາກ: vovworld.vn.	Nguồn: vovworld.vn.
