ກຸ່ມວິສະວະກອນຂອງສູນອາວະກາດຫວຽດນາມ ດໍາເນີນການຕິດຕັ້ງ, ປະກອບດາວທຽມ MicroDragon.	Đội ngũ kỹ sư của Trung tâm Vũ trụ Việt Nam lắp đặt, lắp ráp vệ tinh MicroDragon.
ພາບ: ສູນອາວະກາດຫວຽດນາມ.	Ảnh: Trung tâm Vũ trụ Việt Nam.
ທ່ານ ຫງວຽນຫຶວຊວຽນ ຖືວ່າ, ບັນຫາຖ່າຍທອດເຕັກໂນໂລຢີຈາກຕ່າງປະເທດ ກໍ່ວາງອອກການທ້າທາຍຫຼາຍຢ່າງຕໍ່ພວກເຮົາ, ຖ້າບໍ່ຮູ້ເລືອກເຟັ້ນ, ສັນລະສູດ ອາດຈະຮັບເອົາເຕັກໂນໂລຢີທີ່ຫຼ້າຫຼັງ, ບໍ່ເໝາະສົມກັບຄວາມຕ້ອງການຂອງປະເທດ.	Theo ông Nguyễn Hữu Xuân, vấn đề chuyển giao công nghệ từ nước ngoài đặt ra cho chúng ta nhiều thách thức.
ຄວນມີຍຸດທະສາດຖ່າຍທອດເຕັກໂນໂລຢີຢ່າງສະເໝີຕົ້ນສະເໝີປາຍ	Cần có chiến lược chuyển giao công nghệ nhất quán
ທ່ານ ຫງວຽນດິ່ງມີງ, ເລຂາທິການໃຫຍ່ສະພານະໂຍບາຍວິທະຍາສາດ ແລະເຕັກໂນໂລຢີແຫ່ງຊາດ, ສະເໜີວ່າ: ຫວຽດນາມ ຄວນຕີລາຄາລະດັບເຕັກໂນໂລຢີພາຍໃນປະເທດ ແລະຄວາມຕ້ອງການນໍາເຂົ້າເຕັກໂນໂລຢີ ເພື່ອມີບັນຊີລາຍຊື່ນໍາເຂົ້າ ແລະຖ່າຍທອດເຕັກໂນໂລຢີທີ່ເໝາະສົມ;	Nguyễn Đình Minh, Tổng Thư ký Hội đồng Chính sách Khoa học và Công nghệ Quốc gia cho rằng: “Việt Nam cần đánh giá trình độ công nghệ trong nước và nhu cầu nhập khẩu công nghệ để có danh mục công nghệ nhập khẩu và chuyển giao công nghệ phù hợp;
ສຸມໃສ່ຊື້ລິຂະສິດເຕັກໂນໂລຢີ ເພື່ອສ້າງ ແລະພັດທະນາເຕັກໂນໂລຢີຫວຽດນາມ ໂດຍໄວ, ຕອບສະໜອງບັນດາເປົ້າໝາຍພັດທະນາເສດຖະກິດ-ສັງຄົມ;	Tập trung mua bằng sáng chế công nghệ để tạo ra và phát triển nhanh công nghệ Việt Nam, đáp ứng các mục tiêu phát triển kinh tế - xã hội;
ກໍ່ສ້າງຊັບພະຍາກອນມະນຸດໃຫ້ແກ່ການຄົ້ນຄວ້າວິທະຍາສາດ ແລະພັດທະນາເຕັກໂນໂລຢີ.	Xây dựng nguồn nhân lực nghiên cứu khoa học và phát triển công nghệ.
ຄຽງຂ້າງນັ້ນ, ຫວຽດນາມ ກໍ່ຕ້ອງສ້າງຍຸດທະສາດນໍາເຂົ້າ ແລະຖ່າຍທອດເຕັກໂນໂລຢີຢ່າງສະເໝີຕົ້ນສະເໝີປາຍ, ຄົບຊຸດກັບການປ່ຽນແປງໃໝ່ໂດຍພື້ນຖານ ແລະຮອບດ້ານກ່ຽວກັບກົນໄກໃນສະພາບການປະຈຸບັນ.	Đồng thời, Việt Nam cần xây dựng chiến lược nhập khẩu và chuyển giao công nghệ kịp thời, hoàn chỉnh với những thay đổi cơ bản và toàn diện trong tình hình hiện nay.
ບັນດາຜະລິດຕະພັນກົນຈັກເຮືອບິນທີ່ຜະລິດຢູ່ໂຮງງານ Hanwha Aero Engines (ເຂດເຕັກໂນໂລຢີສູງຮວ່າລາກ).	Sản phẩm cơ khí máy bay sản xuất tại Hanwha Aero Engines (Khu Công nghệ cao Hòa Lạc).
ພາບ: ບິກງອັກ.	Ảnh: Big Dick
ຫວ່າງແລ້ວນີ້, ນາຍົກລັດຖະມົນຕີ ໄດ້ໃຫ້ສັດຕະຍາບັນແຜນຮ່າງ “ຊຸກຍູ້ການຖ່າຍທອດ, ເປັນເຈົ້າການ ແລະພັດທະນາເຕັກໂນໂລຢີຈາກຕ່າງປະເທດເຂົ້າສູ່ຫວຽດນາມ ໃນບັນດາຂະແໜງການ, ຂົງເຂດບຸລິມະສິດໄລຍະຮອດປີ 2025, ກໍານົດທິດຮອດປີ 2030.	Đồng thời, Thủ tướng Chính phủ đã phê duyệt dự thảo quy hoạch “khuyến khích chuyển giao, sở hữu và phát triển công nghệ từ nước ngoài vào Việt Nam trong các lĩnh vực ưu tiên đến năm 2025, định hướng đến năm 2030.
ໃນນັ້ນ, ແຜນຮ່າງຈະປະຕິບັດການປ່ຽນແປງໃໝ່ກົນໄກ, ຍຸດທະສາດ, ສ້າງສະພາບແວດລ້ອມນິຕິກໍາທີ່ສະດວກໃຫ້ແກ່ການຖ່າຍທອດ, ເປັນເຈົ້າການ ແລະພັດທະນາເຕັກໂນໂລຢີຈາກຕ່າງປະເທດເຂົ້າຫວຽດນາມ;	Dự thảo kế hoạch sẽ thực hiện thay đổi cơ chế, chiến lược, tạo môi trường pháp lý thuận lợi cho việc chuyển giao, sở hữu và phát triển công nghệ từ nước ngoài vào Việt Nam;
ລົງທຶນໂຄງລ່າງດ້ານເຕັກນິກໜູນຊ່ວຍໃຫ້ອົງການຈັດຕັ້ງ, ວິສາຫະກິດຖ່າຍທອດ, ເປັນເຈົ້າການ ແລະພັດທະນາເຕັກໂນໂລຢີຈາກຕ່າງປະເທດເຂົ້າຫວຽດນາມ...	Đầu tư vào công nghệ giúp các tổ chức, doanh nghiệp chuyển giao, sở hữu và phát triển công nghệ từ nước ngoài vào Việt Nam ...
ດ້ວຍບັນດານະໂຍບາຍດັ່ງກ່າວຈະກະຕຸກຊຸກຍູ້ວິສາຫະກິດລົງທຶນຄົ້ນຄວ້າ, ພັດທະນາເຕັກໂນໂລຢີ ແລະສ້າງທ່າໃຫ້ວິວັດການຖ່າຍທອດເຕັກໂນໂລຢີຢູ່ຫວຽດນາມ ຕອບສະໜອງຄວາມຕ້ອງການພັດທະນາຂອງປະເທດຊາດ.	Các chính sách này sẽ khuyến khích các doanh nghiệp đầu tư vào nghiên cứu, phát triển công nghệ và tạo cơ hội chuyển giao công nghệ tại Việt Nam đáp ứng nhu cầu phát triển của quốc gia.
ໂດຍ: ທະນາພອນ.	Theo: Thanaphone.
