ກປ.ອອນໄລ - ເພື່ອຕອບສະໜອງຕາມຄໍາຮຽກຮ້ອງຂອງກະຊວງສາທາລະນະສຸກ, ກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານ, ກະຊວງວັດທະນະທໍາ, ກິລາ ແລະທ່ອງທ່ຽວຫວຽດນາມ ກ່ຽວກັບການເກັບ, ຮັກສາຂໍ້ມູນຂອງອົງການຄຸ້ມຄອງຮັບໃຊ້ໃຫ້ວຽກງານປ້ອງກັນ, ຕ້ານເຊື້ອພະຍາດ Covid-19, Viettel Post ຈະເຂົ້າຮ່ວມການເກັບ, ຮັກສາຂໍ້ມູນກ່ຽວກັບບັນດາຮາກຖານພັັກເຊົາໃນທ່ົວປະເທດຢູ່ໃນເວັບໄຊ ncov.moh.gov.vn.	Proudio - Bộ thông tin và yêu cầu cộng sản, Matthews, Covid-19
ຕາມການແນະນໍາຂອງກຸ່ມສ້າງມາດຕະການຂໍ້ມູນຕ້ານເຊື້ອພະຍາດ Covid-19, ເພື່ອເຂົ້າຮ່ວມການເກັບ, ຮັກສາຂໍ້ມູນກ່ຽວກັບບັນດາຮາກຖານພັກເຊົາ, ປະຊາຊົນຕ້ອງປະຕິບັດ 3 ຂັ້ນຕອນແມ່ນເຂົ້າເວັບໄຊ ncov.moh.gov.vn/thongtin;	Theo nhóm các biện pháp chống Covid-19, tham gia các bộ sưu tập, giữ 3 bước nằm trong NCOV.MOH.GOV.vn/thongtin;
ຂຽນໃສ່ຂໍ້ມູນຂອງບັນດາຮາກຖານພັກເຊົາເຊິ່ງເຈົ້າຮູ້ຈັກໃນລັດສະໝີ 1 ກິໂລແມັດ ຫຼື 10 ຮາກຖານພັກເຊົາທີ່ໃກ້ກັບບ່ອນຢູ່ຂອງເຈົ້າ, ເພື່ອຮັບປະກັນຄວາມຊັດເຈນທີ່ສຸດຂໍໃຫ້ພວກເຈົ້າໂທຫາເພື່ອກວດເບິ່ງເບີໂທລະສັບຂອງຮາກຖານພັກເຊົານັ້ນຖືກ ຫຼື ບໍ;	Viết ra thông tin của nhà nghỉ, bạn biết khoảng 1 km hoặc 10 gốc rễ gần nơi ở trong vị trí lưu trú trong thời gian lưu trú của bạn
ຫຼັງຈາກນັ້ນຈຶ່ງກົດສົ່ງ.	Sau đó nhấn gửi.
ພະນັກງານ, ພາລະກອນ Viettel Post ຮ່ວມແຮງຮ່ວມໃຈເຂົ້າຮ່ວມການເກັບ ແລະຮັກສາຂໍ້ມູນກ່ຽວກັບບັນດາຮາກຖານພັກເຊົາຢູ່ບໍລິເວນ.	Nhân viên, Viettel Post hợp tác trong các nhà sưu tập để tham gia lưu trữ và duy trì thông tin về lưu trú.
ພາບ: qdnd.vn.	Ảnh: QĐND.VN.
ຄໍາສັ່ງຂອງ Viettel Post ໄດ້ເນັ້ນໜັກວ່າ: “ດ້ວຍບົດບາດຂອງວິສາຫະກິດຂົນສົ່ງສິນຄ້າແຖວໜ້າຢູ່ຫວຽດນາມ, ທີ່ມີພະນັກງານໄປສົ່ງເຄື່ອງຢູ່ທຸກເສັ້ນທາງເປັນຈໍານວນຫຼວງຫຼາຍ, ພວກເຮົາອາດຈະເປັນກໍາລັງປະຕິບັດການເກັບ, ຮັກສາຂໍ້ມູນໄດ້ຫຼາຍທີ່ສຸດ ແລະວ່ອງໄວທີ່ສຸດ...	Các dự án của Viettel Proctions: "Với vai trò của một doanh nghiệp dọc lớn tại Việt Nam, chúng tôi có thể là hồ sơ nhiều nhất, giữ nhiều hơn ...
.	.
ພະນັກງານ, ພາລະກອນ Viettel Post ຢູ່ 63 ແຂວງ, ນະຄອນ ອັບເດດຂໍ້ມູນ.	Nhân viên, Viettel Post Tability tại 63 tỉnh, cập nhật thành phố.
ພາບ: qdnd.vn.	Ảnh: QĐND.VN.
ປະຈຸບັນ, Viettel Post ໄດ້ມີໜ້າຢູ່ເມືອງ, ຕາແສງ, ເກາະໃນ 63 ແຂວງ, ນະຄອນ.	Hiện tại, Viottel Post đã phải đối mặt trong thành phố, mắt, hòn đảo ở thành phố 63 tỉnh.
ພາບ: qdnd.vn.	Ảnh: QĐND.VN.
ຕາມການແບ່ງປັນຂອງຜູ້ຕາງໜ້າ Viettel Post ແລ້ວ, ເພື່ອໃຫ້ພະນັກງານ, ພາລະກອນໝົດທຸກຄົນໃນທົ່ວປະເທດໄດ້ຮັບຂໍ້ມູນຢ່າງທັນການ, ບໍລິສັດໃຫຍ່ໄດ້ປະຕິບັດການສົ່ງຂໍ້ຄວາມເຖິງພະນັກງານ, ພາລະກອນທັງໝົດ.	Theo đại diện của Viettel Post, để cung cấp cho nhân viên, tất cả các quốc gia đã bị nhiễm bệnh, tất cả các bài viết.
ນອກຈາກນັ້ນ, Viettel Post ກໍ່ສະເໜີໃຫ້ບັນດາຄູ່ຮ່ວມມື MyGo ເຂົ້າຮ່ວມການເກັບ, ຮັກສາຂໍ້ມູນກ່ຽວກັບບັນດາຮາກຖານພັກເຊົາຢູ່ເວັບໄຊ ncov.moh.gov.vn/thongtin.	Ngoài ra, Viettel Post cũng cung cấp các đối tác của MyGo tham dự MyGo, giữ thông tin về NCOV.MOH.GOV.vn/thongtin.
ປະຈຸບັນ, ຈໍານວນຄູ່ຮ່ວມມື MyGo ທີ່ເຄື່ອນໄຫວປະຈຳແມ່ນປະມານ 37.000.	Hiện tại, số lượng đối tác MYGO tích cực là khoảng 37.000.
ໂດຍ: ໄຊນີດາ.	Bởi: NYH.
