ກປ.ອອນໄລ - Viettel ຍາມໃດກໍ່ໄດ້ພະນັກງານ, ພາລະກອນແຕ່ລະຄົນຖືວ່າເປັນເຮືອນຫຼັງທີສອງຂອງຕົນ.	KR Online - Viettel luôn có những nhân viên, từng công việc được coi là ngôi nhà thứ hai của mình.
ຢູ່ທີ່ນັ້ນ, ເຂົາເຈົ້າດໍາລົງຊີວິດ ແລະເຮັດວຽກ.	Ở đó, họ sống và làm việc.
ຢູ່ Viettel ເຂົາເຈົ້າມີຄວາມຜາສຸກເພື່ອເຮັດໃຫ້ລູກຄ້າຂອງຕົນມີຄວາມຜາສຸກເຊັ່ນດຽວກັນ.	Ở Viettel, họ cũng rất vui khi làm cho khách hàng của mình hài lòng.
ແລະໃນເຮືອນ Viettel ຫຼັງນັ້ນ, ມີຫຼາຍເລື່ອງເລົ່າທີ່ຈັບອົກຈັບໃຈ.	Và trong ngôi nhà Viettel ấy, có biết bao câu chuyện đau lòng.
ຄົນຂອງ Viettel ຕ້ອງແຂງແຮງ	Con người của Viettel phải mạnh mẽ lên
ແຕ່ລະປີ, ກຸ່ມບໍລິສັດອຸດສາຫະກໍາ-ໂທລະຄົມມະນາຄົມກອງທັບ (Viettel) ຍາມໃດກໍ່ສະຫງວນຄ່າໃຊ້ຈ່າຍໃນການກວດສຸຂະພາບໃຫ້ແກ່ພະນັກງານ, ພາລະກອນສູງກວ່າທົບ 4 ເທົ່າເມື່ອທຽບໃສ່ບັນດາວິສາຫະກິດໃນຂະແໜງການ.	Mỗi năm, Tập đoàn Công nghiệp - Viễn thông Quân đội (Viettel) dành chi phí khám sức khỏe cho người lao động, cao gấp 4 lần so với các doanh nghiệp trong ngành.
ບໍ່ພຽງແຕ່ເທົ່ານັ້ນ, ຖັນແຖວແພດທະຫານຍາມໃດກໍ່ກຽມພ້ອມໜູນຊ່ວຍ ແລະແນະນໍາບັນດາທ່ານໝໍທີ່ມີຄວາມເກັ່ງກ້າສາມາດໃຫ້ແກ່ພະນັກງານ, ພາລະກອນ ແລະຍາດຕິພີ່ນ້ອງເມື່ອຍາມເຈັບປ່ວຍ.	Không chỉ vậy, đội ngũ quân y luôn sẵn sàng giúp đỡ, tư vấn tài giỏi cho cán bộ, nhân viên và người thân khi ốm đau.
ເຮັດວຽກໃນແຕ່ລະວັນ, ພະນັກງານ, ພາລະກອນມີ 15 ນາທີ happy time ເພື່ອພັກຜ່ອນ, ຢ່ອນອາລົມ.	Mỗi ngày làm việc, nhân viên, nhiệm vụ có 15 phút vui vẻ để nghỉ ngơi, thư giãn.
ພະນັກງານ, ພາລະກອນ Viettel ໄດ້ໜູນຊ່ວຍຄ່າໃຊ້ຈ່າຍປີໜຶ່ງສອງເທື່ອ ເພື່ອຈັດຕັ້ງ happy event ແນໃສ່ເພີ່ມທະວີບັນດາການເຄື່ອນໄຫວສະໜິດຕິດພັນພາຍໃນຫຼາຍຢ່າງ.	Nhân viên, Đoàn công tác Viettel đã tăng gấp đôi chi phí thường niên để tổ chức sự kiện vui vẻ nhằm tăng số lượng các hoạt động nội bộ.
ຄຽງຂ້າງນັ້ນ, ຄົນຂອງ Viettel ທຸກຄົນພ້ອມກັບຄອບຄົວລ້ວນແຕ່ໄດ້ຮັບການກວດພະຍາດຢູ່ເຂດສະເພາະຂອງໂຮງໝໍສູນກາງກອງທັບ 108.	Ngoài ra, tất cả các thành viên Viettel và gia đình đã được khám sàng lọc tại một khu vực cụ thể của Bộ Tư lệnh Quân đoàn 108.
ຄົນຂອງ Viettel ຄວນສ້າງຄອບຄົວໃຫ້ມີຄວາມອົບອຸ່ນ	Người Viettel hãy xây dựng một gia đình êm ấm
