ກປ.ອອນໄລ - ລະດູບານໃໝ່ໄດ້ວຽນມາໃນທຸກແຖບຖິ່ນຂອງປະເທດ.	Mùa xuân đang đến với chúng ta trên mọi miền đất nước.
ທົ່ວປະເທດກຳລັງອອກແຮງແຂ່ງຂັນຕ້ອນຮັບລະດູບານໃໝ່ດ້ວຍຄວາມໄວ້ເນື້ອເຊື່ອໃຈຢ່າງໝັ້ນແກ່ນວ່າ, ທົ່ວພັກ, ທົ່ວກອງທັບ ແລະທົ່ວປວງຊົນໝັ້ນໃຈກ້າວເຂົ້າສູ່ໄລຍະແຫ່ງການເຊື່ອມໂຍງ, ນຳປະເທດພັດທະນາແບບຍືນຍົງ.	Cả nước đang ra sức đón xuân mới với niềm tin vững chắc toàn Đảng, toàn quân, toàn dân quyết tâm bước vào thời kỳ hội nhập, đưa đất nước phát triển bền vững.
ພວກເຮົາຈະປະຕິບັດທຸກໆໜ້າທີ່ຢ່າງມີໄຊນັບແຕ່ຊຸມວັນຕົ້ນລະດູບານໃໝ່, ເພື່ອໃຫ້ບົດເພງໄຊຂອງພັກເຮົາຍືນຍົງຕະຫຼອດໄປ.	Ta sẽ thực hiện thắng lợi mọi thắng lợi ngay từ đầu xuân mới, để bài ca thắng lợi của Đảng ta vang mãi.
ພະນັກງານ, ວິສະວະກອນ ແລະພາລະກອນກຸ່ມບໍລິສັດອຸດສາຫະກຳ-ໂທລະຄົມມະນາຄົມກອງທັບ (Viettel) ຕິດຕັ້ງໂຄງລ່າງເຄືອຂ່າຍ 5ຈີ ຢູ່ຫວຽດນາມ.	Cán bộ, kỹ sư, nhân viên Tập đoàn Công nghiệp Viễn thông Viettel lắp đặt hạ tầng mạng 5G tại Việt Nam.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ທາງດ່ວນສ້າງຄວາມສະດວກໃນການຈະລາຈອນລະຫວ່າງບັນດາໃຈກາງເສດຖະກິດ.	Đường cao tốc tạo điều kiện thuận lợi cho giao thông giữa các trung tâm kinh tế.
ໃນຮູບຖ່າຍ: ທາງຫຼວງ 5B ເສັ້ນທາງຫ໊າຍຟ່ອງ-ຮ່າໂນ້ຍ.	Trong ảnh: Quốc lộ 5B, đường Hải Phòng-Hà Nội.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ກອງທັບຍາມໃດກໍ່ແມ່ນບ່ອນອີງທີ່ໝັ້ນຄົງຂອງປະຊາຊົນ.	Quân đội luôn là thành trì của nhân dân.
ໃນຮູບຖ່າຍ: ພະນັກງານ, ນັກຮົບກອງພົນ 3 (ທະຫານເຂດ 1) ເຄື່ອນທັບເຂົ້າປ່າດຳເນີນການກວດກາຍຸດທະວິທີ, ຍິງປືນແທ້.	Trong ảnh: Cán bộ, chiến sĩ Lữ đoàn 3 (Quân khu 1) hành quân vào rừng kiểm tra chiến thuật, bắn đạn thật.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ໃນຊຸມປີຜ່ານມາ, ຂະແໜງກະສິກຳຫວຽດນາມ ມີການພັດທະນາຢ່າງແຮງເມື່ອນຳໃຊ້ ເຕັກໂນໂລຢີ ແລະເຕັກນິກສູງເຂົ້າໃນການຜະລິດ.	Trong những năm gần đây, ngành nông nghiệp Việt Nam đã phát triển nhanh chóng với việc sử dụng công nghệ và kỹ thuật cao vào sản xuất.
ໃນຮູບຖ່າຍ, ຮູບແບບປູກໝາກໂມ ເຕັກໂນໂລຢີສູງຢູ່ Cty Declo farm-ແຂວງບັ໊ກນີງ ໃຫ້ສະມັດຕະພາບ ແລະມູນຄ່າການສົ່ງອອກສູງ.	Trong ảnh, mô hình cắt cỏ công nghệ cao tại nông trường Cty Declo-tỉnh Bắc Ninh cho năng suất và giá trị xuất khẩu cao.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ການເກັບກ່ຽວໝາກສະຕໍເບີຣີ ຢູ່ບໍລິສັດຮວາທັ໊ງທິ້ງ-ລາກເຢືອງ-ເລິມດົ່ງ.	Thu hoạch dâu tây tại Công ty Hòa Thắng Thiên-Lắc Đường-Lâm Đồng.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ໄວໜຸ່ມຫວຽດນາມ ໝັ້ນໃຈ, ຂະຫຍັນຂັນເຄື່ອນໃນຍຸກດີຈີຕອນ, ເປັນເຈົ້າຂອງເຕັກໂນໂລຢີດີຈີຕອນ 4.0.	Giới trẻ Việt Nam tự tin, năng động trong kỷ nguyên số, làm chủ công nghệ số 4.0.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ໂດຍ: ທະນາພອນ.	Theo: Thanaphone.
