ກປ.ອອນໄລ - ຕອນຄໍ່າວັນທີ 16 ມິຖຸນາ, ທ່ານ ສຈ.	Tối 16/6, GS.
ປອ ຫງວຽນແທັງລອງ, ລັດຖະມົນຕີກະຊວງສາທາລະນະສຸກ ໄດ້ເຮັດວຽກທາງອອນລາຍ ກັບທ່ານ Jose Angel Portal Miranda ລັດຖະມົນຕີກະຊວງສາທາລະນະສຸກກູບາ;	Bộ trưởng Bộ Y tế Por Nguyễn Thanh Long làm việc trực tuyến với Jose Angel Portal Miranda, Bộ trưởng Bộ Y tế Cuba;
ການນໍາຂອງສູນເຕັກນິກ Gene ແລະເຕັກໂນໂລຢີຊີວະພາບກູບາ (CIGB), ກຸ່ມບໍລິສັດການຢາ-ຊີວະພາບກູບາ (BIOCUBAFARMA) ກ່ຽວກັບບັນຫາສະໜອງວັກຊິນປ້ອງກັນໂຄວິດ-19 ໂດຍກູບາ ຜະລິດ ແລະຖ່າຍທອດເຕັກໂນໂລຢີໃນການຜະລິດ, ໃສ່ກ້ອງ ແລະອັດວັກຊິນນີ້ຢູ່ຫວຽດນາມ.	Lãnh đạo Trung tâm Công nghệ gen và Công nghệ sinh học Cuba (CIGB), Tập đoàn Công nghệ sinh học dược phẩm Cuba (BIOCUBAFARMA) về vấn đề vắc xin Cuba-19 được sản xuất và chuyển giao tại Cuba.
ທ່ານ ຫງວຽນແທັງລອງ, ລັດຖະມົນຕີກະຊວງສາທາລະນະສຸກຫວຽດນາມ ເຮັດວຽກທາງອອນລາຍກັບທ່ານ Jose Angel Portal Miranda ລັດຖະມົນຕີກະຊວງສາທາລະນະສຸກກູບາ.	Nguyễn Thanh Long, Bộ trưởng Bộ Y tế Việt Nam làm việc trực tuyến với Jose Angel Portal Miranda, Bộ trưởng Bộ Y tế Cuba.
ພາບ: ເຈິ່ນມິງ.	Ảnh: Trần Minh
ຝ່າຍກູບາ ໃຫ້ຮູ້ວ່າ ວັກຊິນປ້ອງກັນໂຄວິດ-19 Abdala ຂອງກູບາ ໄດ້ຜ່ານ 3 ໄລຍະທົດລອງເບື້ອງຕົ້ນມາແລ້ວ.	Phía Cuba cho biết, vắc xin phòng bệnh Kovid-19 Abdala của Cuba đã trải qua 3 lần thử nghiệm ban đầu.
ຜົນການທົດລອງໄດ້ສະແດງໃຫ້ເຫັນວ່າວັກຊິນ Abdala ສາມາດສະກັດກັ້ນ SARS-CoV-2 ສາຍພັນໃໝ່ປະເພດຕ່າງໆໄດ້ ເຊິ່ງເປັນຄັ້ງທໍາອິດທີ່ກວດພົບຢູ່ອາຟຣີກາ ແລະບຣາຊີນ, ມີຄວາມປອດໄພສູງ, ມີຄວາມຕ້ານທານຕໍ່ພະຍາດໄດ້ດີ.	Các thí nghiệm đã chỉ ra rằng vắc-xin Abdala có thể ức chế chủng SARS-CoV-2, loại vắc-xin đầu tiên xuất hiện ở châu Phi và Brazil, với độ an toàn cao và khả năng kháng bệnh.
ຝ່າຍກູບາ ສະແດງຄວາມພ້ອມໃນການລົງນາມຮ່ວມມືກັບຫວຽດນາມ ກ່ຽວກັບການສະໜອງວັກຊິນ Abdala, ພ້ອມທັງຮ່ວມມືກັບຫວຽດນາມ ເພື່ອຖ່າຍທອດເຕັກໂນໂລຢີໃນການຜະລິດວັກຊິນນີ້.	Phía Cuba bày tỏ sẵn sàng ký thỏa thuận với Việt Nam về việc cung cấp vắc xin Abdala, cũng như cùng Việt Nam chuyển giao công nghệ sản xuất vắc xin này.
ຖ້າຫວຽດນາມ ຕ້ອງການວັກຊິນທີ່ກູບາ ກຳລັງຜະລິດຢູ່ຫຼາຍກວ່າຈໍານວນທີ່ມີໃນປັດຈຸບັນນັ້ນ ກູບາ ຈະເປີດໂຮງງານຜະລິດຕື່ມອີກ 2 ແຫ່ງເພື່ອຕອບສະໜອງຄວາມຕ້ອງການຂອງຫວຽດນາມ.	Nếu Việt Nam muốn có nhiều vắc xin hơn Cuba sản xuất hiện nay, Cuba sẽ mở thêm hai nhà máy để đáp ứng nhu cầu của Việt Nam.
ທ່ານລັດຖະມົນຕີ ຫງວຽນແທັງລອງ ສະແດງຄວາມຂອບໃຈຕໍ່ເຈດຕະນາດີຂອງກູບາ ໃນການຮ່ວມມືກັບຫວຽດນາມ.	Bộ trưởng Nguyễn Thanh Long cảm ơn Cuba về thiện chí hợp tác với Việt Nam.
ກະຊວງສາທາລະນະສຸກຫວຽດນາມ ສະໜັບສະໜູນການຮ່ວມມືນີ້ ແລະມອບໃຫ້ສູນວັກຊິນ ແລະຢາຊີວະພາບ ຍາຈາງ (IVAC) ເປັນຫົວໜ່ວຍຕິດຕໍ່ພົວພັນໃນການຮັບເອົາການຖ່າຍທອດເຕັກໂນໂລຢີ ແລະຜະລິດວັກຊິນ Abdala.	Bộ Y tế Việt Nam đã hỗ trợ sự hợp tác này và giao cho Trung tâm Tiêm chủng và vắc xin (IVAC) chịu trách nhiệm chuyển giao công nghệ và sản xuất vắc xin cho Abdala.
ໂດຍ: ກວຽດເຕິມ.	Bởi: Việt Full.
