ມີລົດບັນທຸກຄັນໜຶ່ງໄດ້ລະເບີດ ຢູ່ໃກ້ ໂບດ St.	Một quả bom xe tải đã phát nổ gần một nhà thờ ở St. Louis.
Anthony ທີ່ນະຄອນຫຼວງ ໂກລົມໂບ ຂອງສີລັງກາ ໃນວັນທີ 22 ເມສາ.	Anthony ở Colombo, Sri Lanka ngày 22/4.
ຕາມແຫຼ່ງຂ່າວຕ່າງໆແລ້ວ, ກໍາລັງຮັບຜິດຊອບ ສີລັງກາ ໄດ້ຮັບຂ່າວວ່າມີລົດບັນທຸກຄັນໜຶ່ງຖືກສົງໄສໄດ້ຈອດຢູ່ຫ່າງຈາກໂບດ St.	Theo các nguồn tin, các nhà chức trách Sri Lanka đã nhận được thông tin rằng một chiếc xe tải bị nghi là đã đậu cách nhà thờ St.
Anthony ປະມານ 50 ແມັດ ແຕ່ວັນທີ 21 ເມສາ.	Anthony khoảng 50 mét từ ngày 21 tháng 4.
ເມື່ອກວດກາລົດຄັນດັ່ງກ່າວ, ຕໍາຫຼວດໄດ້ພົບເຫັນລູກລະເບີດ 3 ໜ່ວຍ.	Khi kiểm tra chiếc xe, cảnh sát tìm thấy ba quả bom.
ໃນຂະນະພວມຊອກຫາວິທີສະກັດກັ້ນການລະເບີດນັ້ນບັນດາລູກລະເບີດດັ່ງກ່າວໄດ້ລະເບີດຂຶ້ນເຮັດໃຫ້ສາມັນຊົນຢູ່ອ້ອມຂ້າງມີຄວາມແຕກຕື່ນ.	Kẻ đánh bom đã tấn công ngay sau buổi trưa trước sự chứng kiến của một đám đông những người đang đưa tang.
ປັດຈຸບັນຍັງບໍ່ທັນໄດ້ມີຂ່າວຄາວກ່ຽວກັບຜູ້ຖືກຮັບບາດເຈັບໃດໆຈາກເຫດການດັ່ງກ່າວ.	Không có báo cáo về thương vong.
ໃນວັນດຽວກັນ, ເຈົ້າໜ້າທີ່ຄົນໜຶ່ງຂອງ ອາເມລິກາ ໃຫ້ຮູ້ວ່າກຸ່ມປະຕິບັດບັນດາເຫດວາງລະເບີດຢູ່ ສີລັງກາ ອາດສາມາດຖືກຜົນສະທ້ອນ ຍ້ອນແນວຄວາມຄິດຫົວຮຸນແຮງຂອງອົງການ IS.	Cùng ngày, một quan chức Mỹ cho rằng nhóm thực hiện các vụ đánh bom ở Sri Lanka có thể bị ảnh hưởng bởi hệ tư tưởng cực đoan của IS.
ປັດຈຸບັນ, ສາເຫດຂອງບັນດາເຫດບຸກໂຈມຕີດັ່ງກ່າວພວມໄດ້ຮັບການສືບສວນ.	Nguyên nhân của vụ tấn công hiện đang được điều tra.
ຜູ້ຖືກສົງໄສ 24 ຄົນ ຖືກຈັບຕົວເພື່ອສືບສວນ ແລະ ຍັງບໍ່ທັນມີອົງການ ຫຼື ສ່ວນບຸກຄົນໃດໆອອກມາຍອມຮັບກໍ່ໃຫ້ເກີດເຫດດັ່ງກ່າວຢ່າງເປັນທາງການເທື່ອ.	24 nghi phạm đã bị bắt để thẩm vấn và chưa có nhóm hay cá nhân nào chính thức nhận trách nhiệm về vụ tấn công.
ແຫຼ່ງຄັດຈາກ: vovworld.vn.	Nguồn: vovworld.vn.
