ແຜ່ຂະຫຍາຍຈິດໃຈສະໜິດຕິດພັນ ແລະເປັນເຈົ້າການຮັບມື	Truyền bá sự đe dọa của tâm trí và đưa bảo hiểm của bạn
ອາດເວົ້າໄດ້ວ່າ, ພະຍາດໂຄວິດ-19 ແມ່ນຄວາມຫຍຸ້ງຍາກໜຶ່ງໃຫ້ແກ່ຫວຽດນາມ ໃນຖານະຕຳແໜ່ງເປັນປະທານອາຊຽນ.	Có thể nói, Manus -19 là một người khó khăn với Việt Nam như Chủ tịch ASEAN.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ຫວຽດນາມ ບໍ່ພຽງແຕ່ຄວບຄຸມໂລກພະຍາດໄດ້ຢ່າງມີປະສິດທິຜົນ, ກາຍເປັນແບບຢ່າງໃຫ້ຫຼາຍປະເທດ, ພ້ອມທັງນຳພາອາຊຽນຜ່ານຜ່າວິກິດການທົ່ວໂລກຖືກຕາມເນື້ອໃນຈິດໃຈ “ສະໜິດຕິດພັນ, ເປັນເຈົ້າການ ແລະຮັບມື.	Tuy nhiên, Việt Nam không phải là kiểm soát bệnh về bệnh, và với cuộc khủng hoảng ASEAN trong cuộc khủng hoảng tinh thần, và đối phó.
ອາຊຽນ ພວມປະຕິບັດ “ໜ້າທີ່ຄວບຄູ່ ທັງປ້ອງກັນຕ້ານພະຍາດໂຄວິດ-19, ທັງຜັນຂະຫຍາຍໄດ້ບັນດາເປົ້າໝາຍທີ່ໄດ້ວາງອອກເພື່ອສ້າງປະຊາຄົມລວມ.	ASEAN được thực hiện "chấp nhận, kinh doanh chống lại các mục tiêu chống cấm" bị cấm thành lập hội chúng.
ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ກ່າວຄຳເຫັນທີ່ພິທີໄຂກອງປະຊຸມສຸດຍອດອາຊຽນ 37.	Tổng thư ký Nguyễn Phú Trọng, Chủ tịch Trương Tấn Sang, Chủ tịch Tổng thống Hội nghị thượng đỉnh ASEAN 37.
ພາບ: vov.vn.	Ảnh: Vov.vn.
ບົນເນື້ອໃນຈິດໃຈນັ້ນ, ກອງປະຊຸມສຸດຍອດອາຊຽນ ຄັ້ງທີ 37 ແມ່ນກອງປະຊຸມສຸດຍອດສຸດທ້າຍໂດຍຫວຽດນາມ ເປັນປະທານຈັດຕັ້ງໃນອາຍຸການປະທານອາຊຽນ 2020.	Hội nghị thượng đỉnh ASEAN 37 là Hội nghị thượng đỉnh cuối cùng của Việt Nam với tư cách là tổng thống của 2020 ASEAN.
ກອງປະຊຸມແມ່ນກາລະໂອກາດເພື່ອໃຫ້ອາຊຽນ ຕີລາຄາສັງລວມໝາກຜົນການຮ່ວມມືພາຍໃນກຸ່ມ, ນອກກຸ່ມ ແລະວາງອອກການກຳນົດທິດບູລິມະສິດໃຫ້ໄລຍະຕໍ່ໄປ.	Các cuộc họp là cơ hội để ASEAN tham gia một nhóm khiếu nại, bên ngoài nhóm và đưa ra mức độ ưu tiên của học kỳ tiếp theo.
ບັນດາການນຳຈະຮັບຮອງເອົາ, ຮັບຮູ້ ແລະປະກາດເອກະສານ 80 ສະບັບເຊິ່ງແມ່ນຈຳນວນຫຼາຍທີ່ສຸດນັບແຕ່ກ່ອນຈົນມາຮອດປະຈຸບັນ.	Lãnh đạo sẽ thông qua, nhận ra và thông báo 80 tài liệu nhiều nhất so với trước đây.
ພິເສດແມ່ນສັນຍາຄູ່ຮ່ວມມືເສດຖະກິດຮອບດ້ານ ແລະຂໍ້ຕົກລົງກ່ຽວກັບແລວທາງການສັນຈອນໄປມາລະຫວ່າງອາຊຽນຈະໄດ້ສ້າງຂຶ້ນໃນໂອກາດນີ້.	Khai thác là một thỏa thuận hợp tác kinh tế và thỏa thuận toàn diện về ASEAN được xây dựng vào dịp này.
ຈິດໃຈສະໜິດຕິດພັນ, ສາມັກຄີອາຊຽນ, ເປັນເຈົ້າການຮັບມືກັບສະພາບການໃໝ່ສືບຕໍ່ໄດ້ແຜ່ຂະຫຍາຍຢູ່ກອງປະຊຸມຄັ້ງນີ້.	Tâm thần dự định, sự thống nhất ASEAN, đối phó với những điều kiện mới tiếp tục lây lan tại hội nghị này.
ກອງປະຊຸມສຸດຍອດອາຊຽນ ຄັ້ງທີ 37 ແລະບັນດາກອງປະຊຸມກ່ຽວຂ້ອງມີຄວາມໝາຍຫຼາຍຢ່າງ, ສິ້ນສຸດອາຍຸການທີ່ມີຂີດໝາຍຫຼາຍຢ່າງຂອງປະທານອາຊຽນ 2020 ຫວຽດນາມ.	Hội nghị thượng đỉnh ASEAN 37 và có ý nghĩa nhiều hơn, kết thúc năm 2020 Việt Nam.
ໂດຍ: ແສງເດືອນ.	Đăng bởi: Tháng ánh sáng.
