ກປ.ອອນໄລ - ໃນບັນຍາກາດອັນເບີກບານມ່ວນຊື່ນຕ້ອນຮັບປີໃໝ່ປະຈໍາຊາດປີກຸນ 2019, ສະເຫຼີມສະຫຼອງວັນສ້າງຕັ້ງພັກກອມມູນິດຫວຽດນາມ ຄົບຮອບ 89 ປີ, ຕອນເຊົ້າວັນທີ 1 ກຸມພາ (ກົງກັບວັນທີ 27 ເດືອນ 12 ຕາມຈັນທະປະຕິທິນ), ທີ່ສໍານັກງານປະທານປະເທດ, ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດ ໄດ້ອວຍພອນປີໃໝ່ການນໍາພັກ, ລັດ, ແນວໂຮມປະເທດຊາດຫວຽດນາມ, ພີ່ນ້ອງຮ່ວມຊາດ, ນັກຮົບໃນທົ່ວປະເທດ, ຊາວຫວຽດນາມອາໄສຢູ່ຕ່າງປະເທດ.	J9 miễn phí - trong lễ kỷ niệm đầu năm mới 2015
ເຂົ້າຮ່ວມລາຍການຍັງມີບັນດາການນຳພັກ, ລັດ, ອະດີດການນໍາພັກ, ລັດ, ສະພາແຫ່ງຊາດ, ຄະນະກຳມະການສູນກາງແນວໂຮມປະເທດຊາດຫວຽດນາມ, ການນໍາບັນດາຄະນະ, ກະຊວງ, ຂະແໜງການ, ອົງການສູນກາງ ແລະນະຄອນຮ່າໂນ້ຍ ອີກດ້ວຍ.	Tham gia danh sách Đảng, Nhà nước, Đảng cũ, Quốc hội, Quốc hội, Ủy ban Trung ương, Ủy ban Trung ương và Hà Nội.
ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດ ອວຍພອນປີໃໝ່ບັນດານັກປະຕິວັດຜູ້ອາວຸໂສ, ການນໍາ ແລະອະດີດການນໍາພັກ, ລັດ.	Tổng thư ký Nguyễn Phú Trọng, Tổng thống chúc phúc cho cuộc cách mạng năm mới, hàng đầu và trước đây hàng đầu, tiểu bang.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ໃນບັນຍາກາດອັນອົບອຸ່ນຂອງລະດູບານໃໝ່ທີ່ເຕັມໄປດ້ວຍຄວາມເຊື່ອໝັ້ນ, ຄວາມເບີກບານມ່ວນຊື່ນ, ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດ ພ້ອມກັບບັນດາຜູ້ແທນທີ່ມີໜ້າຢູ່ທີ່ນີ້ໄດ້ຍົກຈອກອວຍພອນພາລະກິດປະຕິວັດຂອງປະຊາຊົນເຮົາບັນລຸໄດ້ຜົນງານອັນໃຫຍ່ຫຼວງກວ່າອີກ;	Trong bầu không khí ấm áp của mùa giải mới tràn đầy sự tự tin, tổng thống Nguyễn Phú Trọng, với đảng Cộng hòa
ອວຍພອນພັກກອມມູນິດຫວຽດນາມນັບມື້ນັບໝັ້ນຄົງເຂັ້ມແຂງ, ເຕີບໃຫຍ່;	Có phước lành cho cộng sản ổn định của Việt Nam, phát triển;
ປະເທດຊາດນັບມື້ນັບພັດທະນາ;	Quốc gia đang phát triển;
ສີວິໄລ;	Màu trung tâm;
ແຕ່ລະຄອບຄົວ, ແຕ່ລະຄົນມີສຸຂະພາບແຂງແຮງ, ມີຄວາມຜາສຸກ, ປະສົບຜົນສໍາເລັດໃນໜ້າທີ່ການງານ, ບັນລຸໄດ້ໝາກຜົນຫຼາຍຢ່າງ;	Mỗi gia đình, mỗi gia đình đều khỏe mạnh, hạnh phúc, thành công trong chức năng, đạt được nhiều kết quả;
ປະຊາຊົນເຮົານັບມື້ນັບອີ່ມໜໍາສໍາລານ, ທຸກໆຄອບຄົວມີຄວາມເບີກບານມ່ວນຊື່ນ, ປະຊາຊົນຜູ້ໃດກໍ່ມີຄວາມຜາສຸກ.	Người dân của chúng ta là những ngày của chúng ta, mỗi gia đình đang tận hưởng niềm vui, bất kỳ người nào đều hạnh phúc.
ໂດຍ: ໄຊຊະນະ.	Bởi: chiến thắng.
