ກປ.ອອນໄລ - “ກະກຽມ...ໜຶ່ງ, ສອງ, ສາມ, ສີ່...	KP Online - “Chuẩn bị ... một, hai, ba, bốn ...
ປ່ຽນ...	Biến đổi ...
.	.
ນັ້ນແມ່ນຄຳສັ່ງຂອງທ່ານພັນເອກພິເສດ ບຸ່ຍແຢງຫ້ຽວ, ຫົວໜ້າທີມຍິງປັ່ນທອນຂອງກອງທັບປະຊາຊົນຫວຽດນາມ ເຂົ້າຮ່ວມ Army Games 2020, ປາກຮ້ອງ, ມືເຮັດ, “ຜ່ານ ບັນດາບົດຝຶກກໍາລັງກາຍ, ບໍ່ອາດຄິດໄດ້ວ່າອ້າຍກົກຂອງທີມຍິງບັ່ນທອນມີອາຍຸກວ່າ 50 ປີ ແລ້ວ.	Đây là mệnh lệnh của Đại tá đặc công Bùi Anh Hiếu, Trưởng đoàn bắn súng nữ Quân đội nhân dân Việt Nam tham gia Đại hội Thể thao Quân đội 2020.
ຊ້ຳບໍ່ໜຳ, ບັນດາບົດຝຶກຍາກ, ອ້າຍຍັງເຮັດຫຼາຍເທື່ອເພື່ອໃຫ້ບັນດານັກຍິງກຳໄດ້ເຕັກນິກແຕ່ລະຈັງຫວະຢ່າງຊັດເຈນອີກດ້ວຍ.	ຳ ຳ ຳ ໜຳ ຍາກ ຍາກ ຍາກ ຍາກ ຍາກ ຍາກ ຍາກ ອ້າຍ ອ້າຍ ອ້າຍ ອ້າຍ ອ້າຍ ຍາກ ອ້າຍ ອ້າຍ ອ້າຍ ອ້າຍ ອ້າຍ ອ້າຍ ອ້າຍ ອ້າຍ ອ້າຍ ອ້າຍ ອ້າຍ
ທີມຍິງບັ່ນທອນຝຶກແອບຢ່າງດຸໝັ່ນຂະຫຍັນພຽນເພື່ອຍາດໄດ້ຜົນງານສູງສຸດທີ່ Army Games 2020.	Đội tuyển nữ đã tập luyện chăm chỉ để đạt được kết quả tối đa tại Đại hội Thể thao Quân đội 2020.
ພາບ: ຈ້ອງຫາຍ.	Ảnh: Staring.
ໃກ້ຈະຮອດວັນແຂ່ງຂັນທາງການເທົ່າໃດ, ທີມຍິງບັ່ນທອນຍິ່ງຍູ້ໄວບັນດາບົດຝຶກທັງກຳລັງກາຍ, ຈັງຫວະ, ທັງຫຼໍ່ຫຼອມດ້ານຈິດໃຈເທົ່ານັ້ນເພື່ອຕັດສິນໃຈຍາດໄດ້ຜົນງານສູງຢູ່ Army Games 2020, ທ່ານພັນເອກພິເສດ ບຸ່ຍແຢງຫ້ຽວ ແບ່ງປັນວ່າ “ຢູ່ພາຍໃນປະເທດພວກເຮົາໄດ້ກຳນົດວ່າສຳພາລະຕິດຕົວຂອງທີມຍິງບັ່ນທອນແມ່ນເຈດຈຳນົງຕັດສິນໃຈ, ຄວາມຮູ້, ທັກສະ ແລະຄວາມເຊື່ອໝັ້ນຕໍ່ໄຊຊະນະ.	Ngày thi đấu chính thức khép lại, đội tuyển nữ sẽ tập luyện chăm chỉ, nhanh nhẹn, tinh thần để đạt thành tích cao tại Army Games 2020. Đặc công Đại tá Bùi Anh Hiếu chia sẻ:
ໄປຮອດປະເທດລັດເຊຍ, ທີມໄດ້ຈັດຕາຕະລາງຝຶກແອບປະຈຳວັນ.	Đến Nga, toàn đội đã lên lịch tập hàng ngày.
ເວລາແຍກປ່ຽວ 3 ວັນທຳອິດ, ບັນດານັກຍິງທວນຄືນກະຕິກາ, ບັນດາເງື່ອນໄຂບົດຍິງ.	Trong 3 ngày đầu cách ly, các chị xem lại các quy định và điều kiện của các cô.
ພາຍຫຼັງແຍກປ່ຽວ, ທີມມີເງື່ອນໄຂຕື່ມອີກເພື່ອຫັດກາຍ.	Sau khi chia tay, đội có thêm điều kiện để rèn luyện sức khỏe.
