ຕອນບ່າຍວັນທີ 5 ມີນາ, ຢູ່ຮ່າໂນ້ຍ, ທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫງວຽນຊວນຟຸກ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານນາງປະທານສະພາແຫ່ງຊາດລາວ ປານີ ຢາທໍ່ຕູ້.	Chiều 5/3, tại Hà Nội, Thủ tướng Nguyễn Xuân Phúc đã tiếp Chủ tịch Quốc hội Lào Pany Yatou.
ທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫງວຽນຊວນຟຸກ ຢັ້ງຢືນວ່າການຢ້ຽມຢາມຫວຽດນາມ ຂອງທ່ານນາງປະທານສະພາແຫ່ງຊາດລາວ ປານີ ຢາທໍ່ຕູ້ ຄັ້ງນີ້ໄດ້ປະກອບສ່ວນຢັ້ງຢືນສາຍພົວພັນອັນສະໜິດແໜ້ນ, ການຮ່ວມມືແບບພິເສດລະຫວ່າງສອງປະເທດຫວຽດນາມ - ລາວ ແລະມີຄວາມໝາຍສໍາຄັນ, ຮັດແໜ້ນການພົວພັນຮ່ວມມືລະຫວ່າງພັກ, ລັດ ແລະສະພາແຫ່ງຊາດ.	Thủ tướng Nguyễn Xuân Phúc khẳng định, chuyến thăm Việt Nam của Chủ tịch Quốc hội Lào Pany Yatou đã góp phần khẳng định mối quan hệ gắn bó, hợp tác đặc biệt Việt Nam - Lào và tầm quan trọng của việc tăng cường quan hệ giữa Đảng, Nhà nước và Quốc hội.
ທ່ານນາຍົກລັດຖະມົນຕີ ຊີ້ແຈ້ງວ່າການພົວພັນລະຫວ່າງສອງປະເທດໃນຊ່ວງເວລາມໍ່ໆມານີ້ບັນລຸໄດ້ໝາກຜົນຕັ້ງໜ້າຫຼາຍຢ່າງ.	Thủ tướng nêu rõ quan hệ hai nước đã đạt được nhiều thành tựu trong thời gian qua.
ທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫງວຽນຊວນຟຸກ ຕ້ອນຮັບທ່ານນາງປະທານສະພາແຫ່ງຊາດລາວ ປານີ ຢາທໍ່ຕູ້.	Thủ tướng Nguyễn Xuân Phúc tiếp Chủ tịch Quốc hội Lào Pany Yatou.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫງວຽນຊວນຟຸກ ມີຄວາມປິຕິຊົມຊື່ນເມື່ອຮັບຊາບວ່າທ່ານນາງປະທານສະພາແຫ່ງຊາດລາວ ປານີ ຢາທໍ່ຕູ້ ແລະທ່ານນາງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຫງວຽນທິກິມເງິນ ໄດ້ມີີການໂອ້ລົມສົນທະນາກ່ຽວກັບການພົວພັນຮ່ວມມືລະຫວ່າງສອງປະເທດ ກໍ່ຄືລະຫວ່າງສອງສະພາແຫ່ງຊາດ.	Thủ tướng Nguyễn Xuân Phúc vui mừng được biết Chủ tịch Quốc hội Lào Pany Yatou và Chủ tịch Quốc hội Nguyễn Thị Kim Ngen đã trao đổi về quan hệ hợp tác giữa hai nước, hai Quốc hội.
ໂດຍປະຕິບັດແຜນນະໂຍບາຍຂອງກົມການເມືອງສອງປະເທດ, ລັດຖະບານສອງປະເທດໄດ້ມີການຮ່ວມມືອັນດີງາມ ແລະມີປະສິດທິຜົນ.	Qua việc triển khai kế hoạch chính sách của Bộ Chính trị hai nước, Chính phủ hai nước đã hợp tác tốt và hiệu quả.
ທ່ານນາງປະທານສະພາແຫ່ງຊາດລາວ ປານີ ຢາທໍ່ຕູ້ ຢັ້ງຢືນວ່າ: ພັກ, ລັດ ແລະປະຊາຊົນລາວ ຕີລາຄາສູງຜົນສໍາເລັດຂອງການຢ້ຽມຢາມລາວ ຢ່າງເປັນທາງການຂອງທ່ານເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ຫງວຽນຝູຈ້ອງ ທີ່ຜ່ານມາ;	Chủ tịch Quốc hội Lào Pany Yatou khẳng định Đảng, nhà nước và nhân dân Lào đánh giá cao thành công của chuyến thăm chính thức vừa qua của Tổng Bí thư, Chủ tịch nước Nguyễn Phú Trọng;
ອັນໄດ້ສະແດງໃຫ້ເຫັນມູນເຊື້ອການຮ່ວມມືອັນສະໜິດຕິດພັນລະຫວ່າງສອງພັກ, ສອງລັດ, ນໍາການພົວພັນລະຫວ່າງສອງປະເທດນັບມື້ນັບກ້າວເຂົ້າສູ່ລວງເລິກ ແລະແທດຈິງກວ່າ.	Điều này cho thấy di sản của mối quan hệ hợp tác chặt chẽ giữa hai Đảng, hai Nhà nước, đưa quan hệ hai nước ngày càng đi vào chiều sâu và thực chất hơn.
ທ່ານນາງປະທານສະພາແຫ່ງຊາດລາວ ຕີລາຄາສູງຕໍ່ເລື່ອງ ຫວຽດນາມ ເປັນປະເທດເຈົ້າພາບ,ຈັດຕັ້ງກອງປະຊຸມສຸດຍອດລະຫວ່າງ ສ.ອາເມລິກາ - ສປປ.ເກົາຫຼີ ຄັ້ງທີ 2 ສໍາເລັດຜົນ, ປະຕິບັດໜ້າທີ່ສໍາຄັນຂອງຫວຽດນາມ ໃນການສ້າງສາ ແລະປະກອບສ່ວນເຂົ້າໃນສັນຕິພາບ ແລະສະຖຽນລະພາບຂອງໂລກ.	Chủ tịch Quốc hội Lào ca ngợi Việt Nam đăng cai tổ chức Hội nghị Cấp cao Hoa Kỳ-CHDCND Triều Tiên lần thứ 2, hoàn thành tốt vai trò quan trọng của Việt Nam trong việc xây dựng và đóng góp vào hòa bình, ổn định thế giới.
ແຫຼ່ງຄັດຈາກ: vovworld.vn.	Nguồn: vovworld.vn.
