ກປ.ອອນໄລ - ໂດຍໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ຄັດເລືອກ	KPR Online - Quân đội nhân dân Việt Nam bình chọn
1.	1.
ກອງປະຊຸມໃຫຍ່ພັກທຸກຂັ້ນປະສົບຜົນສໍາເລັດມຸ່ງໄປເຖິງກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XIII ຂອງພັກ	Đại hội Đảng bộ các cấp tiến tới thành công Đại hội Đảng bộ lần thứ 13
ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ;	Ông Nguyễn Phú Trọng, Tổng Bí thư, Chủ tịch nước Việt Nam Cộng hòa;
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ;	Thủ tướng Chính phủ Nguyễn Xuân Phúc;
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ພ້ອມກັບບັນດາຜູ້ແທນເຂົ້າຮ່ວມກອງປະຊຸມໃຫຍ່ຜູ້ແທນອົງຄະນະພັກກອງທັບ ຄັ້ງທີ XI.	Diễn giả Quốc hội Nguyễn Thị Kim Ngưng cùng các đại biểu dự Đại hội XI của Đảng.
ພາບ: ຝຸເຊີນ	Ảnh: Phú Sơn
ປີ 2020, 67 ອົງຄະນະພັກສັງກັດສູນກາງໄດ້ຈັດຕັ້ງກອງປະຊຸມໃຫຍ່ອາຍຸການ 2020-2025 ປະສົບຜົນສໍາເລັດຢ່າງຈົບງາມ.	Năm 2020, 67 Ủy viên Ban Chấp hành Trung ương Đảng Cộng sản Trung Quốc (CPC) đã tổ chức thành công Đại hội đại biểu toàn quốc nhiệm kỳ 2020-2025.
2.	2.
ຫວຽດນາມ ຄວບຄຸມພະຍາດໂຄວິດ-19 ສໍາເລັດຜົນ	Việt Nam kiểm soát thành công bệnh Kovid-19
ວິທະຍາຄານການແພດທົດລອງຢາປ້ອງກັນພະຍາດໂຄວິດ-19 Nano Covax.	Viện y tế thử nghiệm vắc xin Kovid-19 Nano Covax.
ພາບ: ທູເຮືອງ	Ảnh: Thu Hương
ວັນທີ 23 ມັງກອນ 2020, ຫວຽດນາມ ຄົ້ນພົບກໍລະນີຕິດເຊື້ອພະຍາດໂຄວິດ-19 ຄົນທໍາອິດ.	Vào ngày 23 tháng 1 năm 2020, Việt Nam đã phát hiện 19 trường hợp nhiễm vi rút gây bệnh đầu tiên.
ດ້ວຍບົດຮຽນຈາກການປ້ອງກັນ, ຕ້ານໂລກລະບາດ SARS, ຂະແໜງສາທາລະນະສຸກ ແລະທົ່ວປະເທດໄດ້ຍົກອອກຍຸດທະສາດສະກັດກັ້ນ, ຊອກຫາ, ແຍກປ່ຽວ, ຕ້ານພະຍາດ.	Với những bài học kinh nghiệm từ công tác phòng, chống dịch SARS, ngành y tế và cả nước đã xây dựng các chiến lược phòng, chống, tìm kiếm, cách ly và chống dịch bệnh.
ມາຮອດປະຈຸບັນ, ຫວຽດນາມ ກາຍເປັນຈຸດພົ້ນເດັ່ນຢູ່ໃນໂລກກ່ຽວກັບການຄວບຄຸມພະຍາດໂຄວິດ-19 ສໍາເລັດຜົນ.	Đến nay, Việt Nam đã trở thành quốc gia đi đầu thế giới trong việc kiểm soát thành công dịch tả-19.
3.	3.
ເສດຖະກິດຫວຽດນາມ ສັງກັດກຸ່ມເຕີບໂຕສູງທີ່ສຸດໃນໂລກ	Nền kinh tế Việt Nam là một trong những nền kinh tế phát triển nhanh nhất trên thế giới
ການເຄື່ອນໄຫວຜະລິດຢູ່ບໍລິສັດຫຸ້ນສ່ວນຊວນຮວ່າຫວຽດນາມ.	Hoạt động sản xuất tại Công ty Cổ phần Xuân Hòa Việt Nam.
ພາບ: ຫວູຢຸງ	Ảnh: Vũ Dũng
ປີ 2020, ລະດັບເຕີບໂຕ GDP ຂອງຫວຽດນາມ ບັນລຸ 2,91%, ສັງກັດກຸ່ມເຕີບໂຕສູງທີ່ສຸດໃນໂລກ.	Đến năm 2020, tốc độ tăng trưởng GDP của Việt Nam đạt 2,91%, vào hàng cao nhất thế giới.
ເຖິງວ່າແມ່ນລະດັບເຕີບໂຕຕໍ່າທີ່ສຸດໃນໄລຍະ 2011-2020 ກໍ່ຕາມ ແຕ່ຕໍ່ໜ້າການຜັນແປຢ່າງສັບສົນຂອງພະຍາດໂຄວິດ-19, ເສດຖະກິດໂລກຖືກຊຸດໂຊມຢ່າງໜັກໜ່ວງ, ນີ້ໄດ້ຮັບຖືວ່າແມ່ນຜົນສໍາເລັດອັນໃຫຍ່ຫຼວງ.	Bất chấp tốc độ tăng trưởng chậm nhất trong giai đoạn 2011-2020, bất chấp diễn biến phức tạp của Bờ Biển Ngà-19, kinh tế toàn cầu đang suy giảm sâu, đây được coi là một thành tựu to lớn.
4.	4.
ຫວຽດນາມ ຮັບດໍາລົງບັນດາພາລະໜ້າທີ່ສາກົນສໍາເລັດຜົນ	Việt Nam đã thực hiện thành công các nghĩa vụ quốc tế của mình
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ກ່າວຄໍາເຫັນທີ່ພິທີອັດກອງປະຊຸມສຸດຍອດອາຊຽນ ຄັ້ງທີ 37 ແລະບັນດາກອງປະຊຸມທີ່ກ່ຽວຂ້ອງ.	Thủ tướng Nguyễn Xuân Phúc phát biểu bế mạc Hội nghị Cấp cao ASEAN lần thứ 37 và các cuộc họp liên quan.
ພາບ: ກວາງຮ່ຽວ	Ảnh: Quang Hiếu
ປີ 2020, ຫວຽດນາມ ດໍາລົງຕໍາແໜ່ງເປັນສະມາຊິກບໍ່ຖາວອນສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດອາຍຸການ 2020-2021, ປະທານອາຊຽນ 2020, ປະທານ AIPA 41 ສຳເລັດຜົນ.	Năm 2020, Việt Nam sẽ trở thành Ủy viên không thường trực Hội đồng Bảo an Liên hợp quốc nhiệm kỳ 2020 - 2021, Chủ tịch ASEAN 2020, Chủ tịch AIPA 41.
