ກປ.ອອນໄລ - ສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດ (ສປຊ) ໄດ້ຈັດກອງປະຊຸມທາງໄກ ກ່ຽວກັບສະພາບການພາກພື້ນບັນດາໜອງໃຫຍ່ຢູ່ອາຟະລິກາ.	Hội đồng Bảo an Liên hợp quốc kêu gọi chấm dứt ngay lập tức các hành động thù địch ở châu Phi
ທີ່ກອງປະຊຸມ, ທ່ານ ຮ້າຮວ່າງ ທູດພິເສດຂອງເລຂາທິການໃຫຍ່ ສປຊ ກ່ຽວກັບພາກພື້ນບັນດາໜອງໃຫຍ່ ໄດ້ກ່າວແຈ້ງບົດລາຍງານປະຈໍາໄລຍະ 6 ເດືອນກ່ຽວກັບການຜັນຂະຫຍາຍຂໍ້ຕົກລົງສັນຕິພາບ, ຄວາມໝັ້ນຄົງ ແລະການຮ່ວມມືໃຫ້ແກ່ ສປ ກົງໂກ ແລະພາກພື້ນ.	Tại buổi làm việc, Đặc phái viên của Tổng Thư ký Liên hợp quốc Ban Ki-moon về Khối thịnh vượng chung Hà Hoàng đã thông báo tóm tắt báo cáo thường niên 6 tháng về việc thực hiện các thỏa thuận hòa bình, an ninh và hợp tác với Cộng hòa Dân chủ Congo và khu vực.
ທ່ານ ຮ້າຮວ່າງ ໃຫ້ຮູ້ວ່າ ບັນດາປະເທດພາກພື້ນບັນດາໜອງໃຫຍ່ຮັກສາຄໍາໝັ້ນສັນຍາເພີ່ມທະວີການຮ່ວມມື ແລະຜັນຂະຫຍາຍຂໍ້ຕົກລົງສັນຕິພາບ, ຄວາມໝັ້ນຄົງ ແລະການຮ່ວມມື.	Hà Hoàng cho biết, các nước lớn trong khu vực luôn giữ lời hứa tăng cường hợp tác và thực hiện các thỏa thuận hòa bình, an ninh và hợp tác.
ກ່ຽວກັບສະພາບການເສດຖະກິດ-ສັງຄົມ ແລະມະນຸດສະທໍາພາກພື້ນ ສືບຕໍ່ປະສົບກັບຄວາມຫຍຸ້ງຍາກ, ພິເສດແມ່ນຍ້ອນຜົນກະທົບຈາກພະຍາດໂຄວິດ-19.	Về tình hình kinh tế - xã hội, nhân đạo khu vực tiếp tục khó khăn, nhất là do ảnh hưởng của dịch bệnh Kovid-19.
ທ່ານ ຮ້າຮວ່າງ ໃຫ້ຮູ້ວ່າ ຫ້ອງການຂອງທ່ານພວມແລກປ່ຽນກັບບັນດາປະເທດຢູ່ພາກພື້ນພ້ອມກັບບັນດາຄູ່ຮ່ວມມືສາກົນເພື່ອແນໃສ່ສ້າງຍຸດທະສາດຂອງ ສປຊ ກ່ຽວກັບພາກພື້ນບັນດາໝອງໃຫຍ່, ສຸມໃສ່ເຂົ້າໃນການແກ້ໄຂ ແລະສະກັດກັ້ນການປະທະກັນຢູ່ພາກພື້ນ.	Ông Hà Hoàng cho biết văn phòng của ông đang làm việc với các nước trong khu vực và các đối tác quốc tế để xây dựng chiến lược của Liên hợp quốc về khu vực, tập trung giải quyết và ngăn ngừa xung đột trong khu vực.
ວາລະປະຊຸມສະພາຄວາມໝັ້ນຄົງ ສປຊ ກ່ຽວກັບບັນດາໜອງໃຫຍ່.	Chương trình nghị sự của Hội đồng Bảo an Liên hợp quốc về các phe phái lớn.
ພາບ: vov.vn.	Ảnh: vov.vn.
ທ່ານເອກອັກຄະລັດຖະທູດ Dian Triansyah Djani, ຫົວໜ້າຄະນະຜູ້ຕາງໜ້າອິນໂດເນເຊຍ ປະຈໍາ ສປຊ ໄດ້ແບ່ງປັນທັດສະນະຂອງບັນດາປະເທດສະມາຊິກສະພາຄວາມໝັ້ນຄົງໃນການຮັບຮູ້ບັນດາຄວາມມານະພະຍາຍາມຂອງ ສປ ກົງໂກ ແລະບັນດາປະເທດຢູ່ພາກພື້ນ, ເນັ້ນໜັກເຖິງຄວາມສໍາຄັນຂອງການຜັນຂະຫຍາຍຂໍ້ຕົກລົງສັນຕິພາບ, ຄວາມໝັ້ນຄົງ ແລະການຮ່ວມມື ເພື່ອແນໃສ່ແກ້ໄຂບັນດາສິ່ງທ້າທາຍທີ່ຍັງຄົງຄ້າງ.	Đại sứ Dian Triansyah Djani, Trưởng Phái đoàn Indonesia tại Liên hợp quốc, chia sẻ quan điểm của các nước thành viên HĐBA trong việc ghi nhận nỗ lực của CHDC Congo và các nước trong khu vực, nhấn mạnh tầm quan trọng của hai bên.
ຫວຽດນາມ ແລະອິນໂດເນເຊຍ ກໍ່ຖືວ່າ ຈໍາເປັນຕ້ອງແກ້ໄຂຄວາມຂາດສະຖຽນລະພາບຢູ່ພາກພື້ນຜ່ານການເພີ່ມທະວີການໄກ່ເກ່ຍ, ສົມທົບກັນແກ້ໄຂການເຄື່ອນໄຫວຜິດກົດໝາຍຂອງກຸ່ມປະກອບອາວຸດ, ແກ້ໄຂບັນຫາຄຸ້ມຄອງຊັບພະຍາກອນທໍາມະຊາດ ແລະເພີ່ມທະວີການຮ່ວມມືພັດທະນາ.	Việt Nam và Indonesia cũng thấy cần phải giải quyết bất ổn khu vực thông qua tăng cường hòa giải, nỗ lực chung để giải quyết các hoạt động bất hợp pháp của các nhóm vũ trang, quản lý tài nguyên thiên nhiên và hợp tác phát triển.
ຫວຽດນາມ ແລະອິນໂດເນເຊຍ ເນັ້ນໜັກວ່າ ຄວນບຸລິມະສິດຊຸກຍູ້ການຮ່ວມມືຢູ່ພາກພື້ນບົນພື້ນຖານບັນດາເປົ້າໝາຍສັນຕິພາບ ແລະສະຖຽນລະພາບລວມ ແລະຮຽກຮ້ອງການໜູນຊ່ວຍຂອງປະຊາຄົມສາກົນຕໍ່ພາກພື້ນບັນດາໜອງໃຫຍ່.	Việt Nam và Indonesia cần ưu tiên thúc đẩy hợp tác khu vực trên cơ sở các mục tiêu hòa bình, ổn định chung và kêu gọi sự ủng hộ của cộng đồng quốc tế trong khu vực.
ໂດຍ: ທະນາພອນ.	Theo: Thanaphone.
