ກປ.ອອນໄລ - ວັນທີ 30 ມັງກອນ, ກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XIII ຂອງພັກ ກ້າວເຂົ້າສູ່ມື້ເຮັດວຽກທີ 5.	Ngày 30/1, Đại hội đại biểu toàn quốc lần thứ 13 của Đảng bước vào ngày làm việc thứ năm.
ທ່ານ ເຈິ່ນກ໊ວກເວື້ອງ, ກໍາມະການກົມການເມືອງ, ຜູ້ປະຈໍາການຄະນະເລຂາທິການສູນກາງພັກ ສະໄໝທີ XII ຕາງໜ້າໃຫ້ຄະນະປະທານບໍລິຫານວາລະປະຊຸມ.	Đồng chí Trần Quốc Vượng, Ủy viên Ban Chính trị, Ủy viên Ban Chấp hành Trung ương Đảng khóa XII thay mặt Ban Chấp hành.
ທ່ານ ຟ້າມມິງຈິ໊ງ, ກໍາມະການກົມການເມືອງ, ເລຂາທິການສູນກາງພັກ ສະໄໝທີ XII, ຫົວໜ້າຄະນະຈັດຕັ້ງສູນກາງ ຕາງໜ້າຄະນະປະທານຂຶ້ນກ່າວບົດລາຍງານຂອງຄະນະປະທານກ່ຽວກັບຜົນການປຶກສາຫາລືບົດລາຍງານຂອງຄະນະບໍລິຫານງານສູນກາງພັກ ສະໄໝທີ XII ກ່ຽວກັບວຽກງານບຸກຄະລາກອນຄະນະບໍລິຫານງານສູນກາງພັກ ສະໄໝທີ XIII ຂອງບັນດາຜູ້ແທນ.	Đồng chí Phạm Minh Chính, Ủy viên Ban Chính trị, Bí thư Trung ương Đoàn khóa XII, Trưởng Ban Tổ chức Trung ương thay mặt Thành ủy
ຕໍ່ຈາກນັ້ນ, ກອງປະຊຸມໃຫຍ່ເລືອກຕັ້ງຄະນະນັບບັດເລືອກຕັ້ງ;	Sau đó, Đại hội đã bầu ra Ban kiểm phiếu;
ປະຕິບັດຂັ້ນຕອນການລົງຄະແນນສຽງຮັບຮອງເອົາບັນຊີລາຍຊື່ຜູ້ສະໝັກ, ສະເໜີຜູ້ອອກສະໝັກ, ກໍລະນີຂໍຖອນຕົວອອກຈາກບັນຊີຜູ້ສະໝັກ, ສະເໜີຜູ້ອອກສະໝັກຄະນະບໍລິຫານງານສູນກາງພັກ ສະໄໝທີ XIII;	Tiến hành thủ tục biểu quyết thông qua danh sách những người ứng cử, những trường hợp xin rút kinh nghiệm, những người ứng cử, Ban Chấp hành Trung ương Đảng khóa XIII;
ຮັບຮອງເອົາບັນຊີລາຍຊື່ເລືອກຕັ້ງຄະນະບໍລິຫານງານສູນກາງພັກກອມມູນິດ ສະໄໝທີ XIII (ທັງກຳມະການສົມບູນ ແລະກຳມະການສໍາຮອງ).	Thông qua danh sách bầu cử Ban Chấp hành Trung ương Đảng khóa XIII (cả Ban Thường vụ và Ban Dự bị).
ການນຳພັກ, ລັດປ່ອນບັດເລືອກຕັ້ງຄະນະບໍລິຫານງານສູນກາງພັກ ສະໄໝທີ XIII.	Ban lãnh đạo đảng, nhà nước biểu quyết bầu ban chấp hành trung ương khóa XIII.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ໃນຕອນບ່າຍວັນທີ 30 ມັງກອນ, ຜູ້ແທນຮັບບັດເລືອກຕັ້ງ, ຈົດ ແລະປ່ອນບັດເລືອກຕັ້ງຄະນະບໍລິຫານງານສູນກາງພັກ ສະໄໝທີ XIII.	Chiều 30/1, các đại biểu đã nhận phiếu, đăng ký và bỏ phiếu bầu Ban Chấp hành Trung ương Đảng khóa XIII.
ພາຍຫຼັງສຳເລັດການນັບບັດເລືອກຕັ້ງ, ກອງປະຊຸມໃຫຍ່ໄດ້ຮັບຟັງຄະນະນັບບັດລືອກຕັ້ງລາຍງານຜົນການເລືອກຕັ້ງ, ປະກາດລາຍຊື່ບັນດາສະຫາຍໄດ້ຮັບການເລືອກຕັ້ງເຂົ້າຄະນະບໍລິຫານງານສູນກາງພັກ ສະໄໝທີ XIII, ລວມມີ 200 ສະຫາຍ, ໃນນັ້ນມີກຳມະການສົມບູນ 180 ສະຫາຍ ແລະກຳມະການສຳຮອງ 20 ສະຫາຍ.	Sau khi kiểm phiếu, Đại hội đã nghe Ban kiểm phiếu báo cáo kết quả bầu cử và công bố danh sách bầu vào Ban Chấp hành Trung ương Đảng khóa XIII gồm 200 ủy viên, trong đó có 180 ủy viên chính thức và 20 ủy viên phó.
ມື້ນີ້ (ວັນທີ 31 ມັງກອນ), ຄະນະບໍລິຫານງານສູນກາງພັກ ສະໄໝທີ XIII ປະຊຸມວາລະທຳອິດເພື່ອເລືອກຕັ້ງກຳມະການກົມການເມືອງ, ເລຂາທິການໃຫຍ່, ຄະນະເລຂາທິການ, ຄະນະກຳມະການກວດກາສູນກາງ, ປະທານຄະນະກຳມະການກວດກາສູນກາງ.	Hôm nay (31/1), Ban Chấp hành Trung ương Đảng khóa XIII đã họp kỳ thứ nhất để bầu Bộ Chính trị, Tổng Bí thư, Ban Bí thư, Ủy ban Kiểm tra Trung ương, Chủ nhiệm Ủy ban Kiểm tra Trung ương.
ໂດຍ: ທະນາພອນ.	Theo: Thanaphone.
