ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 19 ກຸມພາ, ກໍາປັ່ນທະຫານເຮືອອັງກິດ HMS Enterprise ໄດ້ເຂົ້າທຽບທ່າກໍາປັ່ນ ເຕີນຫວູ, ເລີ່ມຕົ້ນການຢ້ຽມຢາມນະຄອນຫາຍຝ່ອງ.	Sáng 19/2, tàu HMS Enterprise của hải quân Anh đã cập cảng Tân Vũ, bắt đầu chuyến thăm Hải Phòng.
ພິທີຕ້ອນຮັບກໍາປັ່ນທີ່ທ່າກໍາປັ່ນເຕີນຫວູ ມີການເຂົ້າຮ່ວມຂອງການນໍາ ແລະຜູ້ຕາງໜ້າສອງຝ່າຍ.	Lễ đón tại Cảng Tân Vũ có sự tham dự của lãnh đạo và đại diện hai bên.
ການພົວພັນສອງຝ່າຍລະຫວ່າງສອງປະເທດເວົ້າລວມ ແລະການພົວພັນຮ່ວມມືດ້ານປ້ອງກັນຊາດເວົ້າສະເພາະກັບລາຊະອານາຈັກອັງກິດ ໃນໄລຍະຜ່ານມາຍາມໃດກໍ່ໄດ້ຮັບຄວາມເອົາໃຈໃສ່ຊຸກຍູ້.	Quan hệ song phương giữa hai nước nói chung và hợp tác quốc phòng nói riêng với Vương quốc Anh trong thời gian qua luôn là trọng tâm được khuyến khích.
ການຢ້ຽມຢາມຄັ້ງນີ້ຂອງກໍາປັ່ນທະຫານເຮືອອັງກິດ ແມ່ນໜຶ່ງໃນບັນດາກິດຈະກໍາທີ່ລະອຽດ ເພື່ອຜັນຂະຫຍາຍບັນດາເນື້ອໃນແລກປ່ຽນລະຫວ່າງການນໍາກະຊວງປ້ອງກັນປະເທດສອງປະເທດໃນໄລຍະຜ່ານມາ, ປະກອບສ່ວນເພີ່ມທະວີການພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອລະຫວ່າງສອງປະເທດ, ຊຸກຍູ້ການຮ່ວມມືດ້ານປ້ອງກັນຊາດສອງຝ່າຍ, ໃນນັ້ນ, ມີການຮ່ວມມືທະຫານເຮືອ.	Chuyến thăm của Hải quân Anh nằm trong chuỗi hoạt động mở rộng nội dung trao đổi giữa Bộ Quốc phòng hai nước trong thời gian qua, góp phần tăng cường quan hệ hữu nghị truyền thống giữa hai nước, thúc đẩy hợp tác quốc phòng song phương, trong đó có hải quân. sự hợp tác.
ກໍາປັ່ນທະຫານເຮືອອັງກິດ HMS Enterprise ໄດ້ເຂົ້າທຽບທ່າກໍາປັ່ນເຕີນຫວູ.	Tàu HMS Enterprise của hải quân Anh cập cảng Tan Wu.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ໃນໄລຍະຢ້ຽມຢາມໄດ້ດໍາເນີນບັນດາກິດຈະກໍາ, ຄື: ເຂົ້າຢ້ຽມຂໍ່ານັບການນໍາຄະນະກໍາມະການປະຊາຊົນນະຄອນຫາຍຝ່ອງ ແລະການນໍາກອງບັນຊາການທະຫານເຮືອ;	Trong thời gian chuyến thăm diễn ra các hoạt động: Đoàn lãnh đạo Ủy ban nhân dân thành phố Hải Phòng, lãnh đạo Bộ Tư lệnh Hải quân;
ບັນດາອົງການ, ກົມກອງຂອງຫວຽດນາມ ຢ້ຽມຢາມກໍາປັ່ນ;	Các cơ quan ban ngành của Việt Nam thăm tàu;
ເຂົ້າຮ່ວມງານຕ້ອນຮັບຢູ່ກໍາປັ່ນ.	Tham dự tiệc chiêu đãi trên tàu.
ວັນທີ 25 ກຸມພາ, ກໍາປັ່ນທະຫານເຮືອອັງກິດ HMS Enterprise ຈະອອກຈາກທ່າກໍາປັ່ນເຕີນຫວູ, ນະຄອນຫາຍຝ່ອງ ແລະສືບຕໍ່ການເດີນທາງຕາມແຜນການ.	Ngày 25/2, tàu hải quân Anh HMS Enterprise sẽ xuất phát từ cảng Tân Vũ, thành phố Hải Phòng và tiếp tục hành trình theo kế hoạch.
ໂດຍ: ເກື່ອງດັ້ງ.	By: Cuong Dang.
