ກປ.ອອນໄລ - ບັນດາໜ້າວຽກລວມມີສ້ອມແປງ, ປ່ຽນເຄື່ອງຈັກປັ່ນໄຟຟ້າ, ປ່ຽນຖ່ານໃຊ້ພະລັງງານແສງຕາເວັນ...	KOR Online - Công việc bao gồm sửa chữa, thay thế máy phát điện, thay thế các tấm pin mặt trời ...
ກ່ອນໜ້າປີໃໝ່ປະຈຳຊາດ ປີຈໍ ຈະວຽນມາ, ກຸ່ມບໍລິສັດອຸດສາຫະກຳ-ໂທລະຄົມມະນາຄົມກອງທັບໄດ້ປະຕິບັດສຳເລັດວຽກງານຮັບປະກັນເຄືອຂ່າຍອິນເຕີແນັດ, ປັບປຸງພື້ນຖານໂຄງລ່າງຢູ່ ເຈື່ອງຊາ.	Trước thềm năm mới, Tập đoàn Công nghiệp - Viễn thông Quân đội đã hoàn thành công tác đảm bảo mạng Internet và hoàn thiện cơ sở hạ tầng tại Trường Sa.
ວັນທີ 10 ກຸມພາ, Viettel ໄດ້ປະຕິບັດສຳເລັດການປັບປຸງເຄືອຂ່າຍອິນເຕີແນັດຢູ່ເຂດໝູ່ເກາະ ເຈື່ອງຊາ, ຊ່ວຍນັກຮົບ ແລະປະຊາຊົນຢູ່ເກາະ ເຈື່ອງຊາ ໄດ້ຕ້ອນຮັບປີໃໝ່ປະຈຳຊາດປີຈໍກັບຍາດຕິພີ່ນ້ອງ ແລະຄອບຄົວ.	Ngày 10/2, Viettel đã hoàn thành việc cải tạo mạng internet tại quần đảo Trường Sa, giúp quân và dân trên Trường Sa đón Tết sum vầy bên người thân và gia đình.
ລາຍລະອຽດ, 11/11 ເກາະໃນແຜນການປັບປຸງ, ແກ້ໄຂພື້ນຖານໂຄງລ່າງເຄືອຂ່າຍອິນເຕີແນັດແມ່ນໄດ້ປະຕິບັດສຳເລັດ.	Thông tin chi tiết, 11/11 Đảo nằm trong kế hoạch cải tạo, sửa chữa cơ sở hạ tầng mạng Internet đã hoàn thành xuất sắc.
ບັນດາໜ້າວຽກລວມມີ: ສ້ອມແປງ, ປ່ຽນເຄື່ອງຈັກປັ່ນໄຟຟ້າ, ປ່ຽນຖ່ານໃຊ້ພະລັງງານແສງຕາເວັນ...	Các công việc bao gồm: sửa chữa, thay thế máy phát điện, thay pin năng lượng mặt trời ...
Viettel ກໍ່ໄດ້ຂົນສົ່ງອຸປະກອນສຳຮອງເພື່ອສະໜອງໃຫ້ແກ່ 11 ເກາະຫຼາຍກ່ວາ 20 ໂຕນ.	Viettel cũng đã vận chuyển hơn 20 tấn phụ tùng đến 11 đảo.
ປະລິມານໜ້າວຽກດັ່ງກ່າວ, ກຳລັງພະນັກງານເຕັກນິກຂອງ Viettel ລວມມີ 12 ຄົນຕ້ອງປະຕິບັດໃຫ້ສຳເລັດພາຍໃນ 1 ເດືອນ.	Khối lượng công việc này, đội ngũ kỹ thuật 12 người của Viettel phải hoàn thành trong vòng 1 tháng.
ຄະນະປະຕິບັດງານຂອງ Viettel ສ້ອມແປງ ແລະຍົກລະດັບລະບົບເຄືອຂ່າຍອິນເຕີແນັດຢູ່ໝູ່ເກາະ ເຈື່ອງຊາ.	Đội ngũ của Viettel sửa chữa và nâng cấp mạng internet tại Trường Sa.
ພາບ: ມາຍແທງ.	Ảnh: Mai Thanh
ພາຍຸລູກທີ 16 ຫວ່າງແລ້ວນີ້ໄດ້ສ້າງຄວາມເສຍຫາຍຫຼາຍຢ່າງກ່ຽວກັບພື້ນຖານໂຄງລ່າງໂທລະຄົມມະນາຄົມຢູ່ໝູ່ເກາະ ເຈື່ອງຊາ ແລະບັນດາຮ້ານເວນຍາມ DK1.	Bão số 16 đã gây thiệt hại nặng nề về hạ tầng viễn thông tại Trường Sa và các cửa hàng tuần tra DK1.
ເພື່ອຮັບປະກັນໃຫ້ການຕິດຕໍ່ສື່ສານໄດ້ລຸລ່ວງໄປດ້ວຍດີ.	Để đảm bảo thông tin liên lạc tốt.
ແປໂດຍ: ກວຽດເຕີມ.	Dịch bởi: Việt Tâm.
