ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 13 ມັງກອນ, ທີ່ສຳນັກງານສະພາແຫ່ງຊາດຫວຽດນາມ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ, ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ Gergely Gulyás , ຮອງປະທານສະພາແຫ່ງຊາດ, ຮອງຫົວຫນ້າຄະນະການນຳແຫ່ງຊາດ ພັກ ພັນທະມິດພົນລະເມືອງ ຮຸງກາຣີ (FIDESZ).	KP
ສະແດງຄວາມປິຕິຊົມຊື່ນເມື່ອເຫັນວ່າການພົວພັນສອງປະເທດໄດ້ພັດທະນາຢ່າງດີງາມໃນຫຼາຍຂົງເຂດ, ທ່ານນາງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຫງວຽນທິກິມເງິນ ຖືວ່າ, ເລື່ອງສອງຝ່າຍຮັກສາການແລກປ່ຽນຄະນະຜູ້ແທນຂັ້ນຕ່າງໆ, ໃນນັ້ນມີການນໍາຂັ້ນສູງ ຊຶ່ງໄດ້ສ້າງພື້ນຖານ, ຄວາມໄວ້ເນື້ອເຊື່ອໃຈດ້ານການເມືອງລະຫວ່າງສອງປະເທດ, ສ້າງກໍາລັງໜູນຢ່າງແຂງແຮງໃຫ້ແກ່ການຜັນຂະຫຍາຍການຮ່ວມມືໃນຫຼາຍຂົງເຂດຢ່າງມີປະສິດທິຜົນ.	Chiều 29/11/2016, tại Văn phòng Chủ tịch nước, Chủ tịch nước Trần Đại Quang đã tiếp Ngài Dragomir Dimitrov, Chủ tịch Cơ quan Tình báo Nhà nước Bulgaria (SIA), nhân chuyến thăm và làm việc tại Việt Nam.
ທ່ານນາງປະທານສະພາແຫ່ງຊາດ ຫງວຽນທິກິມເງິນ ປາດຖະໜາວ່າ ຮຸງກາຣີ ຊຸກຍູ້ໃຫ້ສະຫະພາບ ເອີຣົບ ລົງນາມໃນສັນຍາການຄ້າເສລີ ຫວຽດນາມ-EU (EVFTA) ໂດຍໄວ ແລະຮັບຮູ້ກົດລະບຽບຕະຫຼາດໃຫ້ຫວຽດນາມ;	Tại buổi tiếp, Chủ tịch nước Trương Tấn Sang bày tỏ tự hào về sự phát triển của quan hệ hữu nghị truyền thống Việt Nam - Cộng hòa Bulgaria trên các lĩnh vực chính trị, quốc phòng, an ninh, kinh tế, thương mại, đầu tư, văn hóa, giáo dục.
ສ້າງເງື່ອນໄຂເພື່ອໃຫ້ສິນຄ້າຫວຽດນາມສົ່ງອອກໄປຍັງຕະຫຼາດ ຮຸງກາຣີ ຫຼາຍກວ່າອີກ.	(VOVworld) - Chủ tịch nước Trương Tấn Sang đã biểu dương kết quả hội đàm giữa Thủ tướng Dereko Midter và Bộ trưởng Bộ Công an Tô Lâm.
ທ່ານນາງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຫງວຽນທິກິມເງິນ ຕ້ອນຮັບທ່ານ Gergely Gulyás ຮອງປະທານສະພາແຫ່ງຊາດ ຮຸງກາຣີ.	Bày tỏ tự hào khi thấy hai bên trao đổi và nhất trí về các biện pháp cụ thể, thiết thực nhằm thúc đẩy quan hệ hợp tác giữa hai nước trong lĩnh vực an ninh, đi vào chiều sâu, hiệu quả hơn.
ພາບ: TTXVN	Ông nhấn mạnh, hợp tác an ninh và tình báo là một trong những trụ cột quan trọng của quan hệ Việt Nam-Bulgaria, là cơ sở để tăng cường tin cậy chính trị giữa hai nước và chính phủ vì lợi ích của nhân dân hai nước.
ຊົມເຊີຍໝາກຜົນແຫ່ງການພົບປະເຈລະຈາລະຫວ່າງທ່ານ Gergely Gulyás ຮອງປະທານສະພາແຫ່ງຊາດ ຮຸງກາຣີ ແລະທ່ານ ອວງຈູລຶວ, ຮອງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ, ທ່ານນາງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຫງວຽນທິກິມເງິນ ຖືວ່າ, ສອງຝ່າຍໄດ້ແລກປ່ຽນເນື້ອໃນສໍາຄັນຫຼາຍຢ່າງ, ໃນນັ້ນມີການຈັດຕັ້ງກອງປະຊຸມສໍາມະນາລະຫວ່າງສະພາແຫ່ງຊາດຫວຽດນາມ ແລະສະພາແຫ່ງຊາດ ຮຸງກາຣີ, ສ້າງກາລະໂອກາດເພື່ອໃຫ້ສະມາຊິກສະພາແຫ່ງຊາດສອງປະເທດ ໄດ້ແລກປ່ຽນບົດຮຽນທາງດ້ານນິຕິບັນຍັດ, ຕິດຕາມກວດກາ ແລະບັນດາການເຄື່ອນໄຫວຂອງສະພາແຫ່ງຊາດ ກໍ່ຄືບັນດາບັນຫາທີ່ກ່ຽວຂ້ອງເຖິງການພັດທະນາເສດຖະກິດ-ສັງຄົມຂອງແຕ່ລະປະເທດຢ່າງແທດຈິງ.	Chủ tịch nước Trần Đại Quang tiếp ông Dragomir Dimitrov, Chủ tịch Cơ quan Tình báo Nhà nước Bulgaria.
ທ່ານນາງປະທານສະພາແຫ່ງຊາດ ຫງວຽນທິກິມເງິນ ສະເໜີໃນໄລຍະຈະມາເຖິງ, ສອງຝ່າຍສືບຕໍ່ເພີ່ມທະວີການແລກປ່ຽນຄະນະການນໍາຂັ້ນສູງ ແລະຄະນະຜູ້ແທນກໍາມາທິການຕ່າງໆ, ກຸ່ມສະມາຊິກລັດຖະສະພາມິດຕະພາບສອງຝ່າຍ ເພື່ອແລກປ່ຽນບົດຮຽນໃນບັນດາຂົງເຂດເຄື່ອນໄຫວຂອງສະພາແຫ່ງຊາດ, ເພີ່ມທະວີການແລກປ່ຽນ, ທາບທາມຄໍາເຫັນກ່ຽວກັບບັນດາບັນຫາສາກົນ ແລະພາກພື້ນ ເຊິ່ງຕ່າງຝ່າຍຕ່າງມີຄວາມສົນໃຈ.	Chủ tịch nước cũng cho rằng Việt Nam và Bulgaria cần tăng cường hợp tác kinh tế, thương mại, đầu tư, quốc phòng, an ninh, đấu tranh phòng chống tội phạm và các lĩnh vực tiềm năng khác.
ເນື່ອງໃນໂອກາດນີ້, ທ່ານນາງປະທານສະພາແຫ່ງຊາດ ຫງວຽນທິກິມເງິນ ໄດ້ຂອບໃຈລັດ, ສະພາແຫ່ງຊາດ ແລະລັດຖະບານ ຮຸງກາຣີ ທີ່ໄດ້ສ້າງເງື່ອນໄຂສະດວກໃຫ້ແກ່ປະຊາຄົມຊາວ ຫວຽດນາມ ອາໄສຢູ່ຮຸງກາຣີ ດໍາລົງຊີວິດຢ່າງເປັນປົກະຕິ ແລະເຊື່ອມຕົວເຂົ້າກັບສັງຄົມປະເທດປະຈຳຖິ່ນ.	Ông mong muốn hai bên tăng cường hợp tác, chia sẻ thông tin và hiểu biết lẫn nhau tại các diễn đàn quốc tế, nhất là trong khuôn khổ Liên hợp quốc.
ທ່ານ Gergely Gulyás ຮອງປະທານສະພາແຫ່ງຊາດ ຮຸງກາຣີ ຢືນຢັນວ່າ ຮຸງກາຣີ ຍາມໃດກໍ່ປາດຖະໜາຢາກຮ່ວມມືກັບຫວຽດນາມ, ຖືຫວຽດນາມເປັນຂົວເຊື່ອມຕໍ່ທີ່ສໍາຄັນໃນພາກພື້ນອາຊຽນ ແລະເນັ້ນໜັກເຖິງເລື່ອງ ຮຸງກາຣີ ຈະສືບຕໍ່ສະໜັບສະໜູນຫວຽດນາມໃນເວທີສາກົນ, ທ່ານຮອງປະທານສະພາແຫ່ງຊາດ ຮຸງກາຣີ ປາດຖະໜາວ່າສອງປະເທດສືບຕໍ່ເພີ່ມທະວີການພົບປະແລກປ່ຽນ, ຖອດຖອນບົດຮຽນລະຫວ່າງບັນດາອົງການຂອງສະພາແຫ່ງຊາດ ແລະສະມາຊິກສະພາແຫ່ງຊາດສອງປະເທດ.	(VOVworld) - Chủ tịch nước Trương Tấn Sang đã thông báo tóm tắt với Chủ tịch nước Trần Đại Quang về kết quả hội đàm với Bộ trưởng Bộ Công an.
ກ່ອນໜ້ານັ້ນ, ທີ່ສຳນັກງານສະພາແຫ່ງຊາດຫວຽດນາມ, ທ່ານຮອງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ອວງຈູລຶວ ໄດ້ມີການພົບປະເຈລະຈາກັບ ທ່ານ Gergely Gulyás ຮອງປະທານສະພາແຫ່ງຊາດ ເນື່ອງໃນໂອກາດຄະນະຜູ້ແທນເດີນທາງມາຢ້ຽມຢາມ ແລະເຮັດວຽກຢູ່ຫວຽດນາ ໃນລະຫວ່າງວັນທີ 12 – 16 ມັງກອນ 2017.	Dịch bởi: Huy Đông.
