ກປ.ອອນໄລ - ມົດສະກູ ກຽມກ້າວເຂົ້າສູ່ລະດູໃບໄມ້ຫຼົ່ນສະນັ້ນອາກາດຈຶ່ງເປັນສີໜາວໆໜ້ອຍໜຶ່ງ.	Matxcova đang chuẩn bị cho mùa thu nên thời tiết nhiều mây.
ແຕ່ວ່າ, ຢູ່ສະໜາມຝຶກຊ້ອມ Alabino ຢູ່ຊານນະຄອນຫຼວງສະຫະພັນລັດເຊຍ, ອາກາດພວມ “ຮ້ອນ ຂຶ້ນ.	Tuy nhiên, tại trại huấn luyện Alabino ở ngoại ô thủ đô Nga, thời tiết đang “ấm dần lên.
ນີ້ແມ່ນບ່ອນຈະດຳເນີນການແຂ່ງຂັນ “ລົດຕັງເຄື່ອນຖິ່ , ໜຶ່ງໃນບັນດາການແຂ່ງຂັນທີ່ມີການຄອງຄອຍທີ່ສຸດຂອງງານແຂ່ງຂັນການທະຫານສາກົນ (Army Games) 2020.	Đây là địa điểm tổ chức “Xe tăng di chuyển, một trong những sự kiện được mong đợi nhất của Thế vận hội quân đội 2020.
ພາຍຫຼັງການແຍກຕົວຄົບຕາມຄວາມຮຽກຮ້ອງປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19 ຂອງປະເທດເຈົ້າພາບສະຫະພັນລັດເຊຍ ກໍ່ຄືສັບຊ້ອນບ່ອນຢູ່ກິນພັກເຊົາ, ທີມລົດຕັງຂອງກອງທັບປະຊາຊົນຫວຽດນາມ ພ້ອມກັບບັນດາທີມເຂົ້າຮ່ວມການແຂ່ງຂັນ “ລົດຕັງເຄື່ອນຖິ່ ໃນຂອບເຂດ Army Games 2020 ທີ່ຄະນະຈັດຕັ້ງໄດ້ແນະນໍາບັນດາເງື່ອນໄຂແຂ່ງຂັນຕົວຈິງຢູ່ສະໜາມຝຶກຊ້ອມ Alabino ແລະໄດ້ມອບ-ຮັບລົດຕັງ T-72B3 ເພ່ືອນຳໃຊ້ເຂົ້າໃນການແຂ່ງຂັນ.	Sau khi tách nước chủ nhà trước kiểm dịch viên 19 của nước chủ nhà, đội tuyển Quân đội nhân dân Việt Nam cùng các đồng đội tham dự “Hội thi xe tăng di chuyển Army Games 2020” được Ban tổ chức giới thiệu về điều kiện thi đấu thực tế.
ລົດຕັງ T-72B3 ຂອງທີມລົດຕັງກອງທັບປະຊາຊົນຫວຽດນາມ ຢູ່ Army Games 2020.	Xe tăng T-72B3 của đội xe tăng Quân đội Nhân dân Việt Nam tại Army Games 2020.
ພາບ: ຈ້ອງຫາຍ.	Ảnh: Staring.
T-72B3 ໄດ້ຖືວ່າແມ່ນໜຶ່ງໃນບັນດາປະເພດລົດຕັງທີ່ມີອະນຸພາບດີທີ່ສຸດຂອງກອງທັບລັດເຊຍ ໃນປະຈຸບັນ.	T-72B3 được coi là một trong những xe tăng mạnh nhất của quân đội Nga hiện nay.
T-72B3 ແມ່ນປະເພດລົດໄດ້ຍົກລະດັບຂອງລົດຕັງ T-72, ລົດຕັງປະເພດນີ້ໄດ້ສວມບົດບາດຫຼັກແຫຼ່ງແກ່ນສານໃນຖັນແຖວອາວຸດຍຸດໂທປະກອນຂອງທະຫານບົກໂຊວຽດ ທີ່ໄດ້ນຳໃຊ້ໃນຕະຫຼອດໄລຍະສົງຄາມເຢັນ.	T-72B3 là phiên bản nâng cấp của xe tăng T-72, đóng một vai trò quan trọng trong lực lượng vũ khí trang bị của Quân đội Liên Xô được sử dụng trong Chiến tranh Lạnh.
T-72B3 ໄດ້ມອບໃຫ້ກອງທັບລັດເຊຍ ເປັນຄັ້ງທຳອິດໃນປີ 2013.	T-72B3 được chuyển giao cho quân đội Nga lần đầu tiên vào năm 2013.
Army Games 2020 ແມ່ນຄັ້ງທີ 3 ທີ່ກອງທັບປະຊາຊົນຫວຽດນາມ ໄດ້ຈັດສົ່ງທີມລົດຕັງໄປເຂົ້າຮ່ວມການແຂ່ງຂັນ.	Army Games 2020 là lần thứ 3 Quân đội nhân dân Việt Nam cử đội xe tăng tham gia thi đấu.
ສະມາຊິກຂອງທີມລວມມີທັງບັນດານັກກິລາເຄີຍເຂົ້າຮ່ວມການແຂ່ງຂັນໃນປີກາຍ ແລະບັນດານັກກິລາເຂົ້າຮ່ວມການແຂ່ງຂັນເປັນຄັ້ງທຳອິດ.	Các thành viên trong đội bao gồm các vận động viên đã thi đấu năm ngoái và các vận động viên đã thi đấu lần đầu tiên.
