ກປ.ອອນໄລ - ວັນທີ 17 ກັນຍາ, ຕາມຂ່າວຈາກກົມກູ້ຊີບ-ກູ້ໄພ, ກົມໃຫຍ່ເສນາທິການໃຫ້ຮູ້ວ່າ:	KPR Online - Ngày 17/9, theo tin từ Cục Cứu hộ, Cứu nạn, Bộ Tổng Tham mưu cho biết:
ກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ຫາກໍ່ມີໂທລະເລກ ສະບັບເລກທີ 46/TK ວ່າດ້ວຍການຮຽກຮ້ອງໃຫ້ບັນດາກົມກອງຂອງກອງທັບ: ກົມໃຫຍ່ການເມືອງ, ກົມໃຫຍ່ພະລາທິການ, ກົມໃຫຍ່ເຕັກນິກ, ກອງບັນຊາການທະຫານເຂດ:1, 2, 3, 4, 5, 7, 9,...	Bộ Quốc phòng Việt Nam vừa có Công điện số 46 / TK đề nghị các Cục Vũ trang: Cục Chính trị, Tổng cục Hải quan, Cục Kỹ thuật, Bộ Tư lệnh Quân khu: 1, 2, 3, 4, 5, 7 , 9, ...
ທະຫານຊາຍແດນ, ຕໍາຫຼວດທະເລ...	Bộ đội biên phòng, cảnh sát biển ...
ຊາບຊຶມ ແລະປະຕິບັດບັນດາມາດຕະການຮັບມືກັບພາຍຸລູກທີ 5;	Thâm nhập và triển khai các biện pháp ứng phó với bão số 5;
ຮັກສາລະບອບປະຈໍາການຢ່າງເຂັ້ມງວດ, ອັບເດດສະພາບການພະຍາກອນອາກາດເປັນປະຈຳ;	Duy trì nghiêm túc chế độ trực, cập nhật dự báo thời tiết thường xuyên;
ແຈ້ງໃຫ້ບັນດາພາຫະນະທີ່ພວມເຄື່ອນໄຫວບົນທະເລໄດ້ຮູ້ທີ່ຕັ້ງ, ການຜັນແປຂອງພາຍຸ ແລະສະພາບການຝົນຕົກ, ນໍ້າຖ້ວມຫຼັງພາຍຸ, ກຽມພ້ອມກໍາລັງ, ພາຫະນະຮັບມືກັບບັນດາກໍລະນີໂດຍພາຍຸ, ຝົນຕົກນໍ້າຖ້ວມກໍ່ຂຶ້ນ.	Thông báo cho các phương tiện đang hoạt động trên biển biết vị trí, diễn biến của mưa bão, lũ sau bão, phương tiện sẵn sàng, phương tiện ứng phó khi có bão, mưa lũ.
ຄະນະປະຕິບັດງານຂອງກອງບັນຊາການທະຫານເຂດ 4 ລົງກວດກາວຽກງານຮັບມືກັບພາຍຸລູກທີ 5 ຢູ່ທ່າກໍາປັ່ນແລັກແກວ່ນ (ເມືອງກວິ່ງລຶວ, ແຂວງເງະອານ).	Đoàn công tác Bộ Tư lệnh Quân khu 4 kiểm tra công tác ứng phó với bão số 5 tại cảng Lak Kwan (huyện Thanh Lưu, tỉnh Ngô An).
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ໂດຍປະຕິບັດໂທລະເລກທາງການຂອງກະຊວງປ້ອງກັນປະເທດ, ຫ້ອງວ່າການຄະນະກໍາມະການແຫ່ງຊາດກ່ຽວກັບການຮັບມືກັບອຸບັດເຫດ, ໄພທໍາມະຊາດ ແລະຊອກຫາ, ກູ້ໄພກູ້ຊີບ (ກົມກູ້ຊີບ-ກູ້ໄພ) ໄດ້ສ້າງແຜນການລົງກວດກາ, ຊີ້ນໍາວຽກງານກະກຽມຮັບມືກັບພາຍຸລູກທີ 5.	Bằng công điện của Bộ Quốc phòng, Văn phòng Ủy ban Quốc gia Phòng chống sự cố, thiên tai và Tìm kiếm cứu nạn (Cục Cứu hộ, cứu nạn) đã xây dựng kế hoạch kiểm tra, giám sát công tác chuẩn bị ứng phó với cơn bão số 5.
ຕອນເຊົ້າວັນທີ 17 ກັນຍາ, ຄະນະປະຕິບັດງານໄດ້ລົງກວດກາຢູ່ແຂວງເທື່ອທຽນ-ເຫວ້.	Sáng 17/9, đoàn công tác đã kiểm tra tỉnh Thừa Thiên-Huế.
ວັນທີ 17 ກັນຍາ, ກອງບັນຊາການທະຫານເຂດ 4 ໄດ້ມີເອກະສານຊີ້ນໍາບັນດາອົງການ, ກົມກອງຜັນຂະຫຍາຍວຽກງານຮັບມືກັບພາຍຸລູກທີ 5, ພ້ອມທັງຈັດ 3 ຄະນະປະຕິບັດງານກວດກາວຽກງານຮັບມືກັບພາຍຸລູກທີ 5 ໃນບໍລິເວນແຂວງແທັ່ງຮວ່າ, ແຂວງເງາະອານ...	Ngày 17-9, Bộ Chỉ huy Quân sự Vùng 4 đã có chỉ thị đến các tổ chức, Sư đoàn ứng phó bão số 5, tổ chức 3 đoàn kiểm tra công tác ứng phó với bão số 5 tại các tỉnh Thanh Hóa, Ngô An ...
ວັນທີ 17 ກັນຍາ, ກໍາລັງປະກອບອາວຸດແຂວງກວ໋າງບີ່ງ, ກວ໋າງຈິ້ ໄດ້ສໍາເລັດການຜັນຂະຫຍາຍບັນດາແບບວິທີປ້ອງກັນ, ຕ້ານພາຍຸລູກທີ 5.	Ngày 17/9, Lực lượng vũ trang tỉnh Quảng Bình đã hoàn thành công tác triển khai khắc phục hậu quả bão số 5.
ກໍໃນວັນທີ 17 ກັນຍາ, ກອງບັນຊາການທະຫານເຂດ 5 ໄດ້ຈັດກອງປະຊຸມຜັນຂະຫຍາຍໜ້າທີ່ໃຫ້ແກ່ບັນດາອົງການ, ກົມກອງເພື່ອຮັບມືກັບພາຍຸລູກທີ 5.	Ngày 17/9, Bộ Chỉ huy Quân sự Vùng 5 tổ chức họp triển khai nước cho Sư đoàn 5 để đối phó với bão số 5.
ໂດຍ: ທະນາພອນ.	Theo: Thanaphone.
