ກປ.ອອນໄລ - ໃນໄລຍະຜ່ານມາ, ພະນັກງານ, ນັກຮົບກໍາລັງປະກອບອາວຸດນະຄອນຫຼວງ ຮ່າໂນ້ຍ ໄດ້ຊາບຊຶມແນວທາງ, ແຜນນະໂຍບາຍຂອງພັກ;	Trong thời gian qua, cán bộ, chiến sĩ LLVT Hà Nội đã thâm nhập vào chủ trương, chính sách của Đảng;
ນະໂຍບາຍ, ກົດໝາຍຂອງລັດ ກ່ຽວກັບການເບິ່ງແຍງດູແລບັນດາເປົ້າໝາຍນະໂຍບາຍ, ຜູ້ທີ່ມີຄຸນງາມຄວາມດີຢ່າງເຂັ້ມງວດ;	Chính sách, pháp luật của nhà nước về việc chăm lo cho các đối tượng chính sách, những người có đức tính nghiêm minh;
ຍູ້ແຮງບັນດາການເຄື່ອນໄຫວຕອບບຸນແທນຄຸນດ້ວຍບັນດາວຽກງານທີ່ແທດຈິງ ແລະມີປະສິດທິຜົນ.	Khuyến khích các hoạt động khen thưởng bằng công việc thực sự và hiệu quả.
ບັນດາອົງການ, ກົມກອງກໍາລັງປະກອບອາວຸດນະຄອນຫຼວງ ຮ່າໂນ້ຍ ໄດ້ສົມທົບກັບໂຮງໝໍເສນາຮັກ, ໂຮງໝໍປະຊາຊົນຕ່າງໆຈັດຕັ້ງການກວດພະຍາດ, ແຈກຢາຍຢາໂດຍບໍ່ເສຍຄ່າ, ເບິ່ງແຍງລ້ຽງດູແມ່ຫວຽດນາມວິລະຊົນ, ຢ້ຽມຢາມຖາມຂ່າວ, ມອບຂອງຂວັນໃຫ້ບັນດາເປົ້າໝາຍນະໂຍບາຍ...	Các tổ chức, Bộ Chỉ huy Lực lượng vũ trang Hà Nội phối hợp với Bệnh viện Sena Hrak và các bệnh viện công lập tổ chức khám bệnh, cấp phát thuốc miễn phí, phụng dưỡng Mẹ Việt Nam anh hùng, thăm hỏi báo chí và tặng quà các đối tượng chính sách ...
ບັນດາວຽກງານນັ້ນສືບຕໍ່ຢັ້ງຢືນມູນເຊື້ອ, ສິນທໍາ “ກິນເຂົ້າຄິດຮອດຄຸນນາ, ກິນປາຄິດຮອດຄຸນນໍ້າ , ການຕອບບຸນແທນຄຸນຂອງຊາດ, ການຮູ້ບຸນຄຸນ ແລະການເບິ່ງແຍງດູແລຂອງພັກ, ລັດ, ກອງທັບ, ນະຄອນ ຮ່າໂນ້ຍ ແລະທົ່ວປວງຊົນທັງຊາດຕໍ່ຜູ້ທີ່ມີຄຸນງາມຄວາມດີ.	Các công trình này tiếp tục khẳng định di sản, đạo lý “ăn cơm nghĩ đến cơm, cá nghĩ nước, đền ơn Tổ quốc, sự biết ơn và chăm lo của Đảng, Nhà nước, Quân đội và nhân dân Hà Nội. quốc gia cho những người tài đức.
ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ຂໍແນະນໍາເຖິງເພື່ອນຜູ້ອ່ານບາງຮູບພາບການເຄື່ອນໄຫວຕອບບຸນແທນຄຸນຂອງກໍາລັງປະກອບອາວຸດນະຄອນຫຼວງ ຮ່າໂນ້ຍ.	Báo Quân đội nhân dân Việt Nam giới thiệu một số hình ảnh về hoạt động trả thù của Lực lượng vũ trang Hà Nội.
ຜູ້ຕາງໜ້າການນໍາກອງບັນຊາການນະຄອນຫຼວງ ຮ່າໂນ້ຍ ມອບຂອງຂວັນໃຫ້ບັນດາເປົ້າໝາຍນະໂຍບາຍທີ່ດີເດັ່ນຢູ່ຕາແສງ ຕາມຮຽບ, ເມືອງ ຟຸກເຖາະ.	Đại diện Bộ Tư lệnh Thủ đô Hà Nội tặng quà cho các đối tượng chính sách xuất sắc tại xã Tam Hiệp, huyện Phúc Thảo.
ພາບ: ຖາວມີ.	Ảnh: Thảo My
ພະນັກງານ, ນັກຮົບກອງພັນໃຫຍ່ 59, ກອງພົນ 301 ຊ່ວຍປະຊາຊົນເມືອງ ເຈືອງໝີ໋ ເກັບກ່ຽວເຂົ້າ.	Công nhân, chiến sĩ Tiểu đoàn 59, Lữ đoàn 301 giúp nhân dân Truông Phiêu thu hoạch lúa.
ພາບ: ຖາວມີ.	Ảnh: Thảo My
ຈ່າຍເງິນຕາມລະບອບໃຫ້ບັນດາເປົ້າໝາຍຕາມຂໍ້ຕົກລົງເລກທີ 142, 62 ແລະ 49 ຂອງນາຍົກລັດຖະມົນຕີ.	Thực hiện điều tiết các khoản chi theo Quyết định 142, 62 và 49 của Thủ tướng Chính phủ.
