ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 5 ພະຈິກ, ທີ່ຫໍສະພາແຫ່ງຊາດ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ຕ້ອນຮັບທ່ານ Vahe Enfiajyan ຮອງປະທານສະພາແຫ່ງຊາດ, ປະທານກຸ່ມສະມາຊິກລັດຖະສະພາມິດຕະພາບອາກເມນີ - ຫວຽດນາມ, ເນື່ອງໃນໂອກາດທ່ານ Vahe Enfiajyan ນໍາໜ້າຄະນະຜູ້ແທນຂັ້ນສູງສະພາແຫ່ງຊາດອາກເມນີ ຢ້ຽມຢາມ ແລະເຮັດວຽກຢູ່ຫວຽດນາມ.	Quốc hội - Vaha của Việt Nam đến Hội trường Phó Chủ tịch Phó Chủ tịch Nguyễn Thị Tháng 1
ທີ່ການຕ້ອນຮັບທ່ານ Vahe Enfiajyan, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ໄດ້ເນັ້ນໜັກວ່າ, ຫວຽດນາມ ແລະອາກເມນີ ມີການພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອອັນດີງາມ;	Lễ tân của Vahe Enfiajyan, Việt Nam, Kuan Nguyễn Minh: Việt Nam và Armenia có một may mắn trong tình bạn;
ສະພາແຫ່ງຊາດຫວຽດນາມ ພວມຊຸກຍູ້, ເພີ່ມທະວີການພົວພັນທາງການທູດລັດຖະສະພາກັບປະເທດຕ່າງໆກວ່າອີກ, ໃນນັ້ນມີອາກເມນີ.	Quốc hội là khuyến khích Quốc hội, giữ mối quan hệ đối ngoại quốc hội nhiều hơn, với Armenia.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ສະເໜີຕ້ອງສ້າງເງື່ອນໄຂເພື່ອໃຫ້ບັນດາອົງການຂອງສະພາແຫ່ງຊາດສອງປະເທດແລກປ່ຽນບົດຮຽນໃນຂົງເຂດສ້າງກົດໝາຍ.	Chứng khoán Nguyễn Xay Minh Nguyễn X phải tạo điều kiện cho hai nước trao đổi quốc gia của Sở giao dịch Quốc hội
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ຕ້ອນຮັບທ່ານ Vahe Enfiajyan.	Nguyễn Minh Minh nhận Vahe Enfiajyan.
ພາບ: ຈ໊ຽນຖັ໊ງ.	Ảnh: VNA AGENDUM
ທ່ານຮອງປະທານສະພາແຫ່ງຊາດອາກເມນີ ຢັ້ງຢືນວ່າ, ການນໍາ ແລະປະຊາຊົນອາກເມນີ ຖືເປັນສໍາຄັນການພົວພັນກັບຫວຽດນາມ.	Phó Chủ tịch Bắn cung Nguyễn Phú Archeadi xác nhận, những người hàng đầu và aurry rất quan trọng đối với quan hệ với Việt Nam.
ສະພາແຫ່ງຊາດອາກເມນີ ພ້ອມແລ້ວທີ່ຈະຮ່ວມມືກັບສະພາແຫ່ງຊາດຫວຽດນາມ ເພື່ອນໍາການພົວພັນລະຫວ່າງສະພາແຫ່ງຊາດສອງປະເທດຂຶ້ນສູ່ລະດັບສູງໃໝ່.	Quốc hội đã sẵn sàng hợp tác với Quốc hội đến quan hệ Quốc hội mới đến mức cao mới.
ທ່ານ Vahe Enfiajyan ໄດ້ແບ່ງປັນວ່າ, ກຸ່ມສະມາຊິກລັດຖະສະພາມິດຕະພາບອາກເມນີ ຈະເຮັດຈົນສຸດຄວາມສາມາດຂອງຕົນເພື່ອຊຸກຍູ້ການພົວພັນຂອງສອງປະເທດ;	Ông Vahe Enfiajyan đã chia sẻ, Tập đoàn Seoship Archiven sẽ cố gắng hết sức để quảng bá hai quốc gia;
ປາດຖະໜາຢາກໃຫ້ຫວຽດນາມ ເປີດສະຖານທູດຢູ່ອາກເມນີ ແລະສະພາແຫ່ງຊາດຫວຽດນາມ ສ້າງຕັ້ງກຸ່ມສະມາຊິກລັດຖະສະພາມິດຕະພາບຫວຽດນາມ-ອາກເມນີ.	Việt Nam, Đại diện quốc gia về các kỹ sư hữu nghị Armenia và Armenia.
ໂດຍ: ເກື່ອງດັ້ງ.	Bởi: Trương.
