ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 12 ມິຖຸນາ, ທີ່ຫໍສະພາແຫ່ງຊາດ, ທ່ານນາງ ຕ່ອງທິຟ໊ອງ ຮອງປະທານຜູ້ປະຈໍາການສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ Homero Acosta Alvarez, ກໍາມະການສູນກາງພັກ, ເລຂາສະພາແຫ່ງລັດກູບາ.	Đĩa - Buổi chiều, ngày 12 tháng 6, tại Quốc hội, Bộ trưởng Quốc hội Cuba, Bộ trưởng Cuba.
ທ່ານນາງ ຕ່ອງທິຟ໊ອງ ຮອງປະທານຜູ້ປະຈໍາການສະພາແຫ່ງຊາດຫວຽດນາມ ຕ້ອນຮັບທ່ານ Homero Acosta Alvarez, ເລຂາສະພາແຫ່ງລັດກູບາ.	Phó chủ tịch của Chủ tịch Quốc gia Quốc gia Assemba Acosta Alvarez, Bộ trưởng Cuba.
ພາບ: quochoi.vn.	Ảnh: quochoi.vn.
ທີ່ການຕ້ອນຮັບ, ທ່ານນາງ ຕ່ອງທິຟ໊ອງ ຮອງປະທານຜູ້ປະຈໍາການສະພາແຫ່ງຊາດຫວຽດນາມ ຢັ້ງຢືນວ່າ, ການພົວພັນດ້ານການເມືອງລະຫວ່າງສອງພັກ, ສອງລັດ ແມ່ນການພົວພັນທີ່ໄວ້ເນື້ອເຊື່ອໃຈເຊິ່ງກັນ ແລະກັນ.	Phó chủ tịch của phó chủ tịch Quốc hội, các mối quan hệ chính trị là với các mối quan hệ đáng tin cậy lẫn nhau.
ຫວຽດນາມ ຍາມໃດກໍກໍານົດຄວາມຮັບຜິດຊອບ ແລະອາລົມຈິດສະເໝີຕົ້ນສະເໝີປາຍຂອງຕົນທີ່ມີຕໍ່ກູບາ.	Việt Nam sẽ luôn chịu trách nhiệm và cảm xúc luôn có tiền boa với Cuba.
ຫວຽດນາມ ຍາມໃດກໍຮູ້ບຸນຄຸນຕໍ່ການຊ່ວຍເຫຼືອຂອງກູບາ ໃນຊຸມປີຕໍ່ສູ້ປົດປ່ອຍຊາດ, ທ້ອນໂຮມປະເທດຊາດເປັນເອກະພາບໃນເມື່ອກ່ອນ ກໍຄືໃນກິດຈະການສ້າງສາປະເທດຊາດໃນປັດຈຸບັນ.	Việt Nam cũng sẽ biết ơn sự giúp đỡ của Cuba trong bữa sáng quốc gia, quốc gia của hoạt động sáng tạo chung quốc gia hiện nay.
ຫວຽດນາມ ຍາມໃດກໍຖືຜົນສໍາເລັດຂອງກູບາ ກໍແມ່ນຜົນສໍາເລັດຂອງຫວຽດນາມ.	Việt Nam, CBA thành công trong thành công của Việt Nam.
ເລື່ອງແລກປ່ຽນຄະນະຜູ້ແທນຂັ້ນສູງລະຫວ່າງສອງປະເທດ ແມ່ນຄວາມຈໍາເປັນ ແລະຢັ້ງຢືນເຖິງຄວາມໄວ້ເນື້ອເຊື່ອໃຈດ້ານການເມືອງຂອງສອງພັກ, ສອງລັດ.	Phái đoàn tiên tiến hơn giữa hai nước là cần thiết và xác nhận sự tin tưởng chính trị của hai quốc gia.
ບັນຍາກາດທີ່ການຕ້ອນຮັບ.	Bầu không khí chào đón.
ພາບ: quochoi.vn.	Ảnh: quochoi.vn.
ທ່ານ Homero Acosta Alvarez ສົ່ງຄໍາຂອບໃຈມາຍັງພັກ, ລັດຖະບານຫວຽດນາມ ທີ່ໄດ້ໜູນຊ່ວຍ ກູບາ ໃນວິວັດທະນາການປັບປຸງລັດຖະທໍາມະນູນ.	Ông Homero Acosta Alvarez gửi lời cảm ơn đến bữa tiệc, chính phủ Việt Nam đã giúp Cuba giúp cập nhật hiến pháp.
ພາຍຫຼັງການຢ້ຽມຢາມຫວຽດນາມ ເມື່ອປີ 2013, ຄະນະຜູ້ແທນສະພາແຫ່ງຊາດກູບາ ໄດ້ຈັດຕັ້ງປະຕິບັດການຄົ້ນຄວ້າຢ່າງລະອຽດ ແລະຮັບເອົາຫຼາຍເນື້ອໃນຈາກລັດຖະທໍາມະນູນຂອງຫວຽດນາມ ໃນວິວັດທະນາການສ້າງລັດຖະທໍາມະນູນ ສະບັບໃໝ່ ແລະຕີລາຄາສູງການໜູນຊ່ວຍ, ຊ່ວຍເຫຼືອຂອງຫວຽດນາມຕໍ່ກູບາ ໃນວິວັດທະນາການປັບປຸງລັດຖະທໍາມະນູນ.	Sau chuyến thăm Việt Nam, Quốc hội Quốc hội đã thực hiện một sự bắt nấn hiến hiến hóa cao cho Việt Nam.
ກູບາ ພວມຢູ່ໃນວິວັດທະນາການສ້າງກົດໝາຍເພື່ອຫັນລັດຖະທໍາມະນູນສະບັບໃໝ່ເປັນລະບອບລະບຽບການ, ປາດຖະໜາຢາກທາບທາມບົດຮຽນຂອງຫວຽດນາມທີ່ສຸດ.	Cuba đang trong sự phát triển của pháp luật để tạo ra một hiến pháp mới, như là một quy định về các quy định, Despays BÀI HỌC VIỆT NAM.
ໂດຍ: ໄຊຊະນະ.	Bởi: chiến thắng.
