ກປ.ອອນໄລ - ວັນທີ 14 ພຶດສະພາ, ທີ່ກອງປະຊຸມຂ່າວນັດສາມັນຂອງກະຊວງການຕ່າງປະເທດຫວຽດນາມ, ເມື່ອຕອບຄຳຖາມຂອງນັກຂ່າວທີ່ກ່ຽວຂ້ອງເຖິງຂ່າວໂດຍຖືວ່າຫວຽດນາມ ຢາກຮັກສາປະທານໝູນວຽນອາຊຽນ ຕື່ມອີກໜຶ່ງປີ ເພື່ອເຮັດວຽກທົດແທນເວລາຖືກຜົນກະທົບຈາກເຊື້ອພະຍາດໂຄວິດ-19, ທ່ານນາງ ເລທິທູຮັ່ງ ໂຄສົກກະຊວງການຕ່າງປະເທດຫວຽດນາມ ຊີ້ແຈ້ງວ່າ:	Pro Trực tuyến - Ít nhất là Bộ trưởng Bộ Thủ tướng Chính phủ Thường xuyên, Bộ trưởng Ngoại giao
ປະຈຸບັນ ຫວຽດນາມ ພວມສຸມໃສ່ປະຕິບັດບົດບາດເປັນປະທານອາຊຽນ ປີ 2020 ເປັນຢ່າງດີ.	Trong cuộc nói chuyện, ông Bình Bình Ninh rất cao với Canada, và cảm ơn chính phủ của Chính phủ Lào ở Canada.
ໃນໄລຍະຜ່ານມາ, ເຖິງວ່າປະສົບກັບຄວາມຫຍຸ້ງຍາກຍ້ອນການຜັນແປຢ່າງສັບສົນຂອງເຊື້ອພະຍາດໂຄວິດ-19 ກໍ່ຕາມ, ແຕ່ຫວຽດນາມ ໄດ້ ແລະພວມເສີມຂະຫຍາຍບົດບາດເປັນປະທານໃນການຊຸກຍູ້ຄວາມສາມັກຄີ, ເປັນເຈົ້າການຮັບມືຂອງອາຊຽນ ຕໍ່ໂລກລະບາດ, ສືບຕໍ່ຮັກສາທ່າຮ່ວມມື, ຜັນຂະຫຍາຍບັນດາບຸລິມະສິດໃນປີ 2020 ໃຫ້ມີປະສິດທິຜົນ.	Chính phủ Việt Nam đã xác nhận quyết định xâm nhập của Việt Nam, bao gồm cả Canada, thương mại, thương mại, thương mại và toàn cầu.
ໃນອາຊຽນ ຍັງບໍ່ທັນມີຄຳຄິດຄຳເຫັນໃດທີ່ສະເໜີໃຫ້ແກ່ຍາວອາຍຸການເປັນປະທານຂອງຫວຽດນາມ.	Ông Bunkin Bungan Bộ trưởng, Bộ trưởng Ngoại giao Việt Nam.
ທ່ານນາງ ເລທິທູຮັ່ງ ໂຄສົກກະຊວງການຕ່າງປະເທດຫວຽດນາມ.	Ảnh: Tin tức VNA.
ພາບ: ສຳນັກຂ່າວສານຫວຽດນາມ.	Bộ trưởng Ngoại giao Canada Francois-Philippe Champagne cũng đã biểu thị Việt Nam đối phó với đối phó với đối phó với đối phó với đối phó;
ກໍ່ຢູ່ທີ່ກອງປະຊຸມຂ່າວ, ທ່ານນາງ ເລທິທູຮັ່ງ ໂຄສົກກະຊວງການຕ່າງປະເທດ ໃຫ້ຮູ້ວ່າ ໃນໄລຍະຜ່ານມາ ຫວຽດນາມ ໄດ້ພ້ອມກັບ ອາເມລິກາ, ຍີ່ປຸ່ນ, ສ.	Việt Nam, hỗ trợ công dân Canada tại Trung Quốc trở về nước vào tháng 1 năm 2020;
ເກົາຫຼີ, ອິນເດຍ, ອົດສະຕາລີ ແລະນິວຊີແລນ ດຳເນີນການໂອ້ລົມຜ່ານທາງໂທລະສັບຢ່າງບໍ່ເປັນທາງການ, ໃນນັ້ນ, ຫວຽດນາມ ພ້ອມກັບບັນດາປະເທດ ໄດ້ສຸມໃສ່ອັບເດດສະພາບການຂອງໂລກລະບາດພາຍໃນປະເທດ, ຢູ່ພາກພື້ນ ແລະໃນໂລກ;	Cũng xác nhận những mong muốn tiếp tục chia sẻ thông tin, hợp tác để thúc đẩy Coffemora và hợp tác đa phương và đa phương.
ແບ່ງປັນບົດຮຽນ ແລະມາດຕະການປ້ອງກັນ, ຕ້ານໂລກລະບາດ ກໍຄືບັນດາຮູບການຮ່ວມມືຢ່າງມີປະສິດທິຜົນໃນວຽກງານປົກປ້ອງພົນລະເມືອງ, ສະໜອງວັດຖຸອຸປະກອນການແພດ ກໍຄືສ້າງເງື່ອນໄຂສະດວກທີ່ສຸດໃຫ້ແກ່ການເປີດປະຕູ ແລະຟື້ນຟູພື້ນຖານເສດຖະກິດຫຼັງໂຄວິດ-19.	Hai bộ phát triển tốt của mối quan hệ hai bên trong nhiều lĩnh vực, đặc biệt, và tham gia vào quan hệ đối tác Thái Bình Dương (CPTPP);
ຫວຽດນາມ ເຊື່ອໝັ້ນວ່າ ຜ່ານບັນດາກົນໄກຮ່ວມມື, ແລກປ່ຽນ, ໂອ້ລົມທາງໂທລະສັບດ້ວຍຈິດໃຈສ້າງສັນ ແລະມີຄວາມຮັບຜິດຊອບ, ບັນດາປະເທດ ແລະປະຊາຄົມໂລກຈະຮ່ວມກັນຄວບຄຸມ, ຍູ້ໂລກລະບາດໃຫ້ຖອຍໄປໂດຍໄວ, ພ້ອມທັງຟື້ນຟູພັດທະນາເສດຖະກິດ-ສັງຄົມ.	Đồng ý trao đổi phái đoàn và cấp độ cao;
* ເມື່ອຕອບຄຳຖາມຂອງນັກຂ່າວກ່ຽວຂ້ອງເຖິງສະພາບການຢູ່ທະເລຕາເວັນອອກ, ທ່ານນາງ ເລທິທູຮັ່ງ ໂຄສົກກະຊວງການຕ່າງປະເທດຫວຽດນາມ ຊີ້ແຈ້ງວ່າ: “ຂ້າພະເຈົ້າຂໍຢັ້ງຢືນຄືນໃໝ່ວ່າ ຫວຽດນາມ ມີພະຍານຫຼັກຖານປະຫວັດສາດຢ່າງຄົບຖ້ວນ ແລະພື້ນຖານນິຕິກຳຢັ້ງຢືນອະທິປະໄຕຂອງຕົນສຳລັບໝູ່ເກາະຮວ່າງຊາ ແລະເຈື່ອງຊາ ຢ່າງເໝາະສົມກັບກົດໝາຍສາກົນ.	Giữ các cơ chế hợp tác bây giờ giữa Bộ Ngoại giao của hai nước.
